level,-kappa-0.01_pressure_bar,-kappa-0.01_H2O_mean,-kappa-0.01_H2O_std,-kappa-0.01_H2O_l__mean,-kappa-0.01_H2O_l__std,-kappa-0.01_H2O_l_p__mean,-kappa-0.01_H2O_l_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_H2O_mean,-kappa-0.1_H2O_std,-kappa-0.1_H2O_l__mean,-kappa-0.1_H2O_l__std,-kappa-0.1_H2O_l_p__mean,-kappa-0.1_H2O_l_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_H2O_mean,-kappa-1.0_H2O_std,-kappa-1.0_H2O_l__mean,-kappa-1.0_H2O_l__std,-kappa-1.0_H2O_l_p__mean,-kappa-1.0_H2O_l_p__std
0,98.57416474349999,0.024964553448641673,2.913274379664317e-06,0.0,0.0,0.0,0.0,98.57427396995,0.024964588466966524,2.9582889431571915e-06,0.0,0.0,0.0,0.0,98.5737588522,0.02496465499904007,2.3515070647907574e-06,0.0,0.0,0.0,0.0
1,95.81560214144999,0.024976746236737818,6.379450361088212e-05,0.0,0.0,0.0,0.0,95.81570882375,0.024978404057864098,6.439104638429345e-05,0.0,0.0,0.0,0.0,95.81530690455001,0.02499607662401162,6.417465581954307e-05,0.0,0.0,0.0,0.0
2,93.11409527425,0.02497912597496994,6.214578210978681e-05,0.0,0.0,0.0,0.0,93.11420963260001,0.024979577573072165,6.311669457045478e-05,0.0,0.0,0.0,0.0,93.11406830245,0.024997758414791897,6.244026195141613e-05,0.0,0.0,0.0,0.0
3,90.46735019604999,0.024979690221492202,5.933762305433087e-05,0.0,0.0,0.0,0.0,90.4674829,0.024978993827430532,6.052916529716509e-05,0.0,0.0,0.0,0.0,90.46763513584999,0.024996744170533495,5.88609171015598e-05,0.0,0.0,0.0,0.0
4,87.87471560285,0.024979542724816128,5.6562794181682025e-05,0.0,0.0,0.0,0.0,87.87486865205,0.024977734103901313,5.805375791920784e-05,0.0,0.0,0.0,0.0,87.87529411745001,0.024995222822036593,5.516245246545555e-05,0.0,0.0,0.0,0.0
5,85.33551457994999,0.024979229775136336,5.409033493512218e-05,0.0,0.0,0.0,0.0,85.33568950415,0.02497648926258087,5.5990786331232086e-05,0.0,0.0,0.0,0.0,85.33637548635001,0.024993879526024686,5.208734217329653e-05,0.0,0.0,0.0,0.0
6,82.849125875425,0.02497884166375734,5.199178438149431e-05,0.0,0.0,0.0,0.0,82.849322075875,0.024975354813095183,5.4299159091988914e-05,0.0,0.0,0.0,0.0,82.850254453275,0.024992702268110588,4.970283473066303e-05,0.0,0.0,0.0,0.0
7,80.414887441175,0.02497844587867148,5.033721804584143e-05,0.0,0.0,0.0,0.0,80.415104316225,0.024974358227960767,5.284182240770535e-05,0.0,0.0,0.0,0.0,80.416273058675,0.024991692915409803,4.7732941946013406e-05,0.0,0.0,0.0,0.0
8,78.03214980372499,0.024978033665101974,4.909255143639744e-05,0.0,0.0,0.0,0.0,78.03238645885,0.024973511384772138,5.155738596160182e-05,0.0,0.0,0.0,0.0,78.0337808487,0.024990849826363848,4.620056454442579e-05,0.0,0.0,0.0,0.0
9,75.7002560529,0.024977599998787046,4.803476887546383e-05,0.0,0.0,0.0,0.0,75.70051163005,0.02497280095798895,5.047314013859476e-05,0.0,0.0,0.0,0.0,75.7021219439,0.024990176458163187,4.514031094607399e-05,0.0,0.0,0.0,0.0
10,73.418554585775,0.024977178832143544,4.7028857164035434e-05,0.0,0.0,0.0,0.0,73.418828307975,0.02497217640821822,4.962072274723062e-05,0.0,0.0,0.0,0.0,73.42064460015,0.024989622512254863,4.4374058965570313e-05,0.0,0.0,0.0,0.0
