level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
0,98.57416474349999,0.0025174962770368437,2.1350644364797647e-07,0.0,0.0,0.0,0.0,98.57427396995,0.0025174973581451924,2.264487570936884e-07,0.0,0.0,0.0,0.0,98.5737588522,0.0025174857722513842,2.302512074448918e-07,0.0,0.0,0.0,0.0
1,95.81560214144999,0.0025239365177846048,2.875448817978432e-06,0.0,0.0,0.0,0.0,95.81570882375,0.002524000268104719,3.0577502923996914e-06,0.0,0.0,0.0,0.0,95.81530690455001,0.0025259910062025302,3.7512285201894553e-06,0.0,0.0,0.0,0.0
2,93.11409527425,0.0025248450064752253,2.2520656230880634e-06,0.0,0.0,0.0,0.0,93.11420963260001,0.002525000294856727,2.4299587919244993e-06,0.0,0.0,0.0,0.0,93.11406830245,0.0025276421786868015,2.925091586008281e-06,0.0,0.0,0.0,0.0
3,90.46735019604999,0.0025251291790953836,1.8958691126825829e-06,0.0,0.0,0.0,0.0,90.4674829,0.002525326604262227,2.063714017399954e-06,0.0,0.0,0.0,0.0,90.46763513584999,0.0025281521741324104,2.4411656846613054e-06,0.0,0.0,0.0,0.0
4,87.87471560285,0.0025252370669692757,1.6866104751039348e-06,0.0,0.0,0.0,0.0,87.87486865205,0.0025254591896920467,1.8519968291906661e-06,0.0,0.0,0.0,0.0,87.87529411745001,0.0025283783407125155,2.143556851435184e-06,0.0,0.0,0.0,0.0
5,85.33551457994999,0.002525282959652832,1.5519668214985868e-06,0.0,0.0,0.0,0.0,85.33568950415,0.0025255204897059592,1.7209006446836601e-06,0.0,0.0,0.0,0.0,85.33637548635001,0.002528488354854053,1.949415788737783e-06,0.0,0.0,0.0,0.0
6,82.849125875425,0.0025253057221067137,1.4556818206600248e-06,0.0,0.0,0.0,0.0,82.849322075875,0.0025255557683785445,1.6322789407026675e-06,0.0,0.0,0.0,0.0,82.850254453275,0.002528552585343132,1.81630885615262e-06,0.0,0.0,0.0,0.0
7,80.414887441175,0.002525318104479229,1.385959201437337e-06,0.0,0.0,0.0,0.0,80.415104316225,0.0025255785743228624,1.5685475652042145e-06,0.0,0.0,0.0,0.0,80.416273058675,0.002528592409361154,1.7206039243939278e-06,0.0,0.0,0.0,0.0
8,78.03214980372499,0.002525325324531877,1.3346215788546686e-06,0.0,0.0,0.0,0.0,78.03238645885,0.002525592680576956,1.5212241979594289e-06,0.0,0.0,0.0,0.0,78.0337808487,0.0025286201160913332,1.6490840490917642e-06,0.0,0.0,0.0,0.0
9,75.7002560529,0.0025253298584127335,1.2950342721408405e-06,0.0,0.0,0.0,0.0,75.70051163005,0.0025256005929212553,1.4823726074075703e-06,0.0,0.0,0.0,0.0,75.7021219439,0.002528639703798108,1.5941907078216814e-06,0.0,0.0,0.0,0.0
10,73.418554585775,0.0025253324351483023,1.2635147009193143e-06,0.0,0.0,0.0,0.0,73.418828307975,0.0025256051553902217,1.4495395892578436e-06,0.0,0.0,0.0,0.0,73.42064460015,0.0025286544343247077,1.5499179067280675e-06,0.0,0.0,0.0,0.0
11,71.186393772275,0.0025253337155410555,1.2383707447950652e-06,0.0,0.0,0.0,0.0,71.18668452985,0.002525607956063468,1.4222447035714529e-06,0.0,0.0,0.0,0.0,71.1886971422,0.0025286654172383713,1.5130587697014642e-06,0.0,0.0,0.0,0.0
12,69.00312503295,0.0025253339107066857,1.2181471326460813e-06,0.0,0.0,0.0,0.0,69.00343178074999,0.0025256092552177144,1.3982545635241038e-06,0.0,0.0,0.0,0.0,69.00563098147501,0.0025286736445105634,1.4831807353660804e-06,0.0,0.0,0.0,0.0
13,66.86810146147499,0.0025253331150033045,1.2012926353085596e-06,0.0,0.0,0.0,0.0,66.868423113525,0.002525609686067328,1.3775169262582162e-06,0.0,0.0,0.0,0.0,66.87079965630001,0.0025286800745001527,1.4590730504679948e-06,0.0,0.0,0.0,0.0
