pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s
1.82665102e-01,1.00680582e+02,2.35824042e+19,9.43296169e+19,5.89560105e+20,2.35824042e+21,2.41794992e+09,9.67179969e+09,6.04487480e+10,2.41794992e+11
1.85930800e-01,1.01191609e+02,1.73455111e+19,6.93820443e+19,4.33637777e+20,1.73455111e+21,1.99955845e+09,7.99823381e+09,4.99889613e+10,1.99955845e+11
1.89254881e-01,1.01705231e+02,1.27784061e+19,5.11136246e+19,3.19460154e+20,1.27784061e+21,1.65525379e+09,6.62101514e+09,4.13813446e+10,1.65525379e+11
1.92638391e-01,1.02221459e+02,9.42873335e+18,3.77149334e+19,2.35718334e+20,9.42873335e+20,1.37162855e+09,5.48651421e+09,3.42907138e+10,1.37162855e+11
1.96082391e-01,1.02740308e+02,6.96808804e+18,2.78723521e+19,1.74202201e+20,6.96808804e+20,1.13775213e+09,4.55100852e+09,2.84438033e+10,1.13775213e+11
1.99587964e-01,1.03261790e+02,5.15767605e+18,2.06307042e+19,1.28941901e+20,5.15767605e+20,9.44704082e+08,3.77881633e+09,2.36176021e+10,9.44704082e+10
2.03156209e-01,1.03785919e+02,3.82358910e+18,1.52943564e+19,9.55897274e+19,3.82358910e+20,7.85197150e+08,3.14078860e+09,1.96299287e+10,7.85197150e+10
2.06788247e-01,1.04312708e+02,2.83897568e+18,1.13559027e+19,7.09743920e+19,2.83897568e+20,6.53272278e+08,2.61308911e+09,1.63318069e+10,6.53272278e+10
2.10485220e-01,1.04842172e+02,2.11116431e+18,8.44465722e+18,5.27791076e+19,2.11116431e+20,5.44051674e+08,2.17620670e+09,1.36012918e+10,5.44051674e+10
2.14248286e-01,1.05374322e+02,1.57234889e+18,6.28939555e+18,3.93087222e+19,1.57234889e+20,4.53538654e+08,1.81415462e+09,1.13384663e+10,4.53538654e+10
2.18078630e-01,1.05909174e+02,1.17284050e+18,4.69136201e+18,2.93210126e+19,1.17284050e+20,3.78455249e+08,1.51382100e+09,9.46138123e+09,3.78455249e+10
