level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_mean,-kappa-0.01_theta_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_mean,-kappa-0.1_theta_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_mean,-kappa-1.0_theta_std
0,98.58448937000001,164.74453242492675,0.006520838438714736,98.58811272,164.74284342193604,0.0066531150708272774,98.58738879,164.74311049652098,0.005327594322547524
1,95.82561864,164.93708489990235,0.018264661454846388,95.829075065,164.93089218139647,0.016598437109740228,95.82853919,164.9491770401001,0.019401217071742326
2,93.12367735,164.9122142868042,0.01747545989695205,93.12692488,164.90629500579834,0.017011342665510472,93.12678875,164.93193422698974,0.018990331798531258
3,90.47637869,164.91306560516358,0.012167458381402298,90.47946641,164.90743926239014,0.012564860928522647,90.47974477,164.93019468688965,0.01460985242922047
4,87.883184135,164.90320531463624,0.011352700587812983,87.88615886,164.89773371124267,0.012683784920533268,87.886797775,164.92057457733154,0.013800835754449185
5,85.343427525,164.90172765350343,0.010312994301977726,85.34630164999999,164.89613174438477,0.011547583108124433,85.34727827500001,164.91809014892578,0.01263722007743127
6,82.85649633,164.8982106323242,0.009633784276919523,82.8592877325,164.89232958984374,0.011097303803250773,82.860568335,164.9141092147827,0.012281177259195097
7,80.42172581,164.897078125,0.008622653189903368,80.4244436075,164.89086019897462,0.01080252556361087,80.42601334,164.9121920852661,0.011667181043098867
8,78.0384753825,164.89563126373292,0.007893443883372642,78.041120725,164.88909800720214,0.01094831434078215,78.04295874750001,164.9099990158081,0.01130742281717536
9,75.7060856675,164.89490637207032,0.007422304830276454,75.70866290000001,164.8882007293701,0.010786256656382588,75.710757665,164.9084808959961,0.011104290395276469
10,73.42390758,164.89404671478272,0.007405179567422313,73.42641700749999,164.88706591796876,0.010566296251820909,73.42875428,164.90715305328368,0.010931282769103729
11,71.1912908975,164.8935059738159,0.007337513642158891,71.19372888000001,164.88608550262452,0.010231086952606236,71.1962992775,164.9059848098755,0.010756659885959642
12,69.00758451,164.89304222869873,0.007410912823307826,69.0099526125,164.88540824890137,0.010062393040088114,69.01274046249999,164.90479409790038,0.010732767739116196
13,66.8721411875,164.8925308151245,0.00745075405268891,66.8744389875,164.88496687316893,0.010085962099178563,66.87743333,164.9037758102417,0.01071257740586683
14,64.78431696,164.8919405670166,0.007336756940133754,64.7865466775,164.88442404937743,0.010467188491942494,64.7897326375,164.90307045745848,0.010650965122572843
15,62.743468405,164.89122256469727,0.007357464434840117,62.745628845,164.88388429260254,0.010813326544163723,62.748998462500005,164.90268561553955,0.010465902818036983
16,60.7489559825,164.89048081970216,0.00743671192822931,60.751050105,164.88346815490723,0.01096210491293587,60.754591392500004,164.9023703994751,0.010219095623874736
17,58.800143875,164.8898414993286,0.007661310664674356,58.80217365,164.88322652435303,0.01104836105011499,58.8058761125,164.90208879852295,0.010246949646310172
18,56.896396515,164.88927865600587,0.008213017468431153,56.898365735,164.8830754623413,0.011072414835940294,56.90221861,164.90181671905518,0.010530806144568004
19,55.0370845225,164.88879831695556,0.00879383338370027,55.038994814999995,164.88286058807373,0.010933817042730378,55.0429914275,164.9014562072754,0.010737842531208231
20,53.2215810875,164.88833425140382,0.00903538452689824,53.223432107499995,164.88240762329102,0.010718257702420964,53.227564725,164.90107061767577,0.010678628404278311
21,51.44925911,164.88784349822998,0.008968993465726532,51.451052897500006,164.88181187438965,0.01053442853157124,51.4553132075,164.9008383102417,0.010519725065960956
22,49.719499667499996,164.88734696197508,0.008928433625576037,49.72123419,164.88129518127442,0.010391440674118686,49.725615530000006,164.90071644592285,0.01041122591156452
23,48.0316799375,164.8867795944214,0.009034633025120377,48.033357672499996,164.88078119659423,0.010276397552957301,48.037853705,164.90056410217286,0.010336364831949272
24,46.385184872500005,164.88619538879394,0.00916225760264928,46.386807995,164.88049550628662,0.010167556747315523,46.3914100325,164.90030448913575,0.010270226671400824
25,44.7794022325,164.88570461273193,0.009293809140219675,44.7809729175,164.88025174713135,0.010173107936415621,44.785672555,164.90004500579835,0.010227129059532632
26,43.213721477499995,164.88521006774903,0.009452075006743346,43.2152443425,164.8798888092041,0.01020686692379261,43.220030072499995,164.89986466217042,0.010267064995822812
27,41.68753566875,164.8846348953247,0.009740641422447268,41.68901284,164.87936148834228,0.010175356122828574,41.69387712375,164.89974850463867,0.010550203662093034
28,40.20024207,164.88400518035888,0.010089014145968099,40.2016750525,164.8789543762207,0.010224576639461852,40.20660899125,164.89964344787597,0.010917516539825148
29,38.7512385225,164.88343564605714,0.010526713846273883,38.75263159625,164.8787113800049,0.010403263323913895,38.7576255225,164.89947164916993,0.011187110534598844
30,37.33992856375,164.88306548309328,0.010863160492416243,37.34128465,164.87862816619872,0.010438650260262106,37.346329286250004,164.89926599884032,0.011335516899926339
31,35.965718790000004,164.88282218170167,0.01109717764326912,35.9670394875,164.87860120391846,0.01033199816911849,35.972126235000005,164.89909301757814,0.011453053989912355
32,34.62801758375,164.8825629043579,0.011341968216045965,34.6293047675,164.87865287017823,0.010323262079382183,34.6344242575,164.8989005050659,0.011552704810531847
33,33.32623632375,164.88217890930176,0.011691051167879742,33.32749229125,164.878686668396,0.010639907222016446,33.3326370675,164.89877689361572,0.011598354576966865
34,32.05978985,164.88173012542725,0.012076221139914606,32.06101685625,164.8786079940796,0.010942951304629446,32.06617986,164.89867696380614,0.01167967150200022
35,30.828096272499998,164.8812724685669,0.012473793519173453,30.82929670125,164.87840592956542,0.011162256889826553,30.83447098625,164.89854360198976,0.0118335938409081
36,29.630576542500002,164.88082433319093,0.012902307766679456,29.631752687499997,164.878138381958,0.011326441019684856,29.6369320325,164.89833470916747,0.01200013745120771
37,28.46665716375,164.88031867980956,0.013378002732938512,28.4678095375,164.87786614227295,0.01152813414092275,28.4729869225,164.89807971954346,0.012110624270484278
38,27.33576470125,164.87974029541016,0.013841591523860709,27.33689541875,164.8776282196045,0.011980668161023932,27.342064617499997,164.89781964874268,0.012123533073904217
39,26.237330809999996,164.87912191009522,0.014163900198398383,26.23844129125,164.87738952636718,0.012683068441533366,26.24359622875,164.89753479003906,0.012194443300577552
40,25.170789946249997,164.8783899230957,0.01446401291281818,25.171882285000002,164.87719663238525,0.013295606432191603,25.177016515000002,164.89719367980956,0.012320069808047833
41,24.1355798275,164.87766149902345,0.014779467657019246,24.136656481249997,164.87691385650635,0.013855439599430964,24.141763576250003,164.89690502929687,0.012507836368193716
42,23.13114143375,164.87703926849366,0.015083273462252427,23.13220427375,164.87667881774902,0.014382948212490658,23.13727857625,164.89662519836426,0.01283350515065024
43,22.156921195,164.8765739593506,0.015434358380226956,22.1579712425,164.87651177978515,0.01481699901725622,22.16300687125,164.89631837463378,0.013268601633565323
44,21.21236680875,164.8761748199463,0.015668598212743703,21.21340469625,164.87626317596437,0.015412391815217042,21.21839558125,164.8959312286377,0.013757093684872086
45,20.296930803749998,164.8758547592163,0.015854205962154692,20.29795581125,164.87590926361085,0.016208099373808533,20.302896881875,164.89553609466552,0.014289432533925816
46,19.410067343125,164.87565397644042,0.016140257283729705,19.411079263125,164.87552597808838,0.016947636264663134,19.415965945,164.89517290496826,0.014856192915647437
47,18.551235393749998,164.87553960418703,0.01669916429962342,18.5522337975,164.87506897735597,0.017842690505873726,18.557061715625,164.89481114196778,0.015361212522254518
48,17.719896005,164.87551721191406,0.017439287470429082,17.720881060625,164.8745087890625,0.018976829972007607,17.72564463375,164.8945244140625,0.01597329648521985
49,16.915515674375,164.87561926269532,0.018234806502132907,16.916485330625,164.87418285369873,0.02001004187938568,16.921181653125,164.89422370147705,0.016775538818159647
50,16.137562045,164.87566064453125,0.01947791753402648,16.13851607875,164.87413762664795,0.020297010163932348,16.143140110625,164.89389434814453,0.017543737183060123
51,15.38550788125,164.8756443710327,0.021006150963164417,15.386445362499998,164.87436419677735,0.020360204529440637,15.3909932575,164.89353861999513,0.018362562038582015
52,14.658829013125,164.87549716186524,0.02216910282290534,14.659749726249999,164.87464097595216,0.02071726287694926,14.664216096875,164.89318746948243,0.0194936395956884
53,13.957003506875001,164.8750587539673,0.02332744177188266,13.957907534375,164.87491256713867,0.021597122422975155,13.962290786250001,164.892980178833,0.021145506556901818
54,13.27951369125,164.87447120666505,0.024721274294303902,13.280401188125,164.8749387207031,0.02328816665735083,13.284698986875,164.89293306732176,0.02309084222702269
55,12.625848433125,164.8741135253906,0.027678418186907288,12.626716355000001,164.87457517242433,0.02553881680239043,12.63092763,164.89287414550782,0.024995703467699183
56,11.995497151250001,164.87361048889161,0.03175208667408256,11.996342355625,164.87378341674804,0.028410206399466464,12.000467167499998,164.8927197341919,0.027242500108431003
57,11.387952885625,164.87275519561769,0.03611027904253169,11.38877309875,164.87299304199217,0.031729727403789695,11.392809436875,164.8920102005005,0.029890735787068475
58,10.802711681875,164.87196445465088,0.03952089769773512,10.803503271875,164.87178470611573,0.03579340479766672,10.807449284999999,164.89068788146972,0.0334969273196528
59,10.239274669999999,164.87127297210694,0.045581687856775036,10.24003365125,164.8696068572998,0.041211458921453066,10.243887358125,164.88920468139648,0.03918820838521098
60,9.697145138125,164.8692169647217,0.05729335816911696,9.6978648878125,164.86616471099853,0.049424325732430746,9.7016280209375,164.88768287658692,0.04807487158112141
61,9.1758330415625,164.8633480834961,0.07634422857540382,9.176507735,164.8602966003418,0.06344111491686712,9.1801786296875,164.88359702301025,0.0639309312974106
62,8.674864765625,164.8476181640625,0.1098266236745009,8.6754832040625,164.84605528259277,0.08761339375144656,8.679060430625,164.8753257675171,0.0925340952790941
63,8.193832593125,164.8024772567749,0.1739341920746874,8.1943761678125,164.82134839630126,0.14286597232125586,8.1978497965625,164.85256330108643,0.15246927033130897
64,7.7325215421874995,164.66096459198,0.2861441707333641,7.733002511874999,164.7533439102173,0.23586185202327564,7.736375518125,164.79304013824463,0.2684607971032119
65,7.290971664375,164.26304978942872,0.3785761153255122,7.2915527840625005,164.45090090179443,0.3500237358226571,7.2948011690625005,164.49762964630128,0.4261018548850045
66,6.868877485625,163.53962203979492,0.41347084995535266,6.869820211875,163.73656460571289,0.4023115689410282,6.87290767125,163.7793618621826,0.4650125472842304
67,6.4652883415625,162.8397467956543,0.3814305442006846,6.4667641753125,163.03899645996094,0.3357158957280444,6.469629814687501,163.04535806274413,0.4021179618968611
68,6.0792663090625,162.40024365234376,0.29635807784794144,6.0813048775,162.59963859558104,0.2484637359456832,6.083899338125,162.57189669036865,0.29811755354654174
69,5.7101466846874995,162.17865199279785,0.2225030788650115,5.7127039203125,162.38782551574707,0.17162172013982172,5.7150106796875,162.33179636383056,0.19671523531080823
70,5.357404240625,162.07114796447755,0.16172944544714904,5.360431231875,162.29456267547607,0.11913707740708043,5.3624546596875,162.22517414855957,0.12934104158141327
71,5.0205661309375005,162.02008936309815,0.12409128512653118,5.0240143934375,162.2557950439453,0.08768055541348363,5.02576979046875,162.1850902404785,0.09989918587109178
72,4.69917306890625,161.99751780700683,0.10539830241130214,4.70299934375,162.2413681716919,0.07390137457363909,4.7045084946875,162.17366075897218,0.08266421379815425
73,4.39277917046875,161.98700304412841,0.09662602311309619,4.396944838125,162.2367702178955,0.0736759321231585,4.39822959953125,162.17398294067382,0.06943032423113947
74,4.1009490446875,161.98000723266603,0.09520028315434569,4.105415735625,162.23667555999756,0.07934784348809734,4.106499880625,162.1791888809204,0.06225503652158565
75,3.8232541265625,161.97508320617675,0.09863025582204538,3.827982299375,162.23982884979247,0.08745445466835233,3.8288905453125,162.18698719787596,0.06333255527785281
76,3.5592720140625,161.9722367630005,0.10588200717172525,3.564223513125,162.24662975311279,0.09691907720217584,3.564978515625,162.19600619506835,0.06954943453212167
