pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
1.90957383e-01,1.00294231e+02,2.98096339e+19,1.19238536e+20,7.45240848e+20,2.98096339e+21,3.88215923e+09,1.55286369e+10,9.70539808e+10,3.88215923e+11,3.95540203e+01,8.02077629e-03,nan
1.95420401e-01,1.00958444e+02,1.99472907e+19,7.97891628e+19,4.98682268e+20,1.99472907e+21,3.02790794e+09,1.21116318e+10,7.56976986e+10,3.02790794e+11,3.80984440e+01,8.82247773e-03,nan
1.99987727e-01,1.01627057e+02,1.33840555e+19,5.35362220e+19,3.34601387e+20,1.33840555e+21,2.36574486e+09,9.46297944e+09,5.91436215e+10,2.36574486e+11,3.66815375e+01,9.73188523e-03,nan
2.04661800e-01,1.02300097e+02,9.00451524e+18,3.60180610e+19,2.25112881e+20,9.00451524e+20,1.85158684e+09,7.40634734e+09,4.62896709e+10,1.85158684e+11,3.53026779e+01,1.07667281e-02,nan
2.09445114e-01,1.02977595e+02,6.07426946e+18,2.42970778e+19,1.51856736e+20,6.07426946e+20,1.45166453e+09,5.80665811e+09,3.62916132e+10,1.45166453e+11,3.39612455e+01,1.19481342e-02,1.17978563e-02
2.14340223e-01,1.03659580e+02,4.10848058e+18,1.64339223e+19,1.02712014e+20,4.10848058e+20,1.14006480e+09,4.56025922e+09,2.85016201e+10,1.14006480e+11,3.26566242e+01,1.33015205e-02,1.30970771e-02
2.19349740e-01,1.04346081e+02,2.78621292e+18,1.11448517e+19,6.96553231e+19,2.78621292e+20,8.96869035e+08,3.58747614e+09,2.24217259e+10,8.96869035e+10,3.13882010e+01,1.48572471e-02,1.46289183e-02
2.24476338e-01,1.05037129e+02,1.89446116e+18,7.57784466e+18,4.73615291e+19,1.89446116e+20,7.06740363e+08,2.82696145e+09,1.76685091e+10,7.06740363e+10,3.01553665e+01,1.66491060e-02,1.63758376e-02
2.29722754e-01,1.05732753e+02,1.29148083e+18,5.16592331e+18,3.22870207e+19,1.29148083e+20,5.57849852e+08,2.23139941e+09,1.39462463e+10,5.57849852e+10,2.89575145e+01,1.87220236e-02,1.83937928e-02
2.35091788e-01,1.06432984e+02,8.82701026e+17,3.53080410e+18,2.20675256e+19,8.82701026e+19,4.41058840e+08,1.76423536e+09,1.10264710e+10,4.41058840e+10,2.77940426e+01,2.11383306e-02,2.07345345e-02
