level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std
0,98.641808724,0.024960719716157764,4.212034274481657e-07,0.0,0.0,0.0,0.0,98.64185334915,0.024960847351429984,3.315633607146611e-07,0.0,0.0,0.0,0.0,98.64310833475,0.02496087365394458,3.596299044232423e-07,0.0,0.0,0.0,0.0
1,95.83570845605001,0.024894052491206676,6.18487011727079e-05,0.0,0.0,0.0,0.0,95.83577874619999,0.02493468624501489,5.923743441050145e-05,0.0,0.0,0.0,0.0,95.8368811927,0.024951233095666395,5.477087405913595e-05,0.0,0.0,0.0,0.0
2,93.08915590670001,0.02487804408942349,7.794512347712674e-05,0.0,0.0,0.0,0.0,93.0892603297,0.02492790833732113,7.150758315471114e-05,0.0,0.0,0.0,0.0,93.09038659285,0.024939657201152293,7.391654393947677e-05,0.0,0.0,0.0,0.0
3,90.39926189855,0.024872775863669812,8.53799629382794e-05,0.0,0.0,0.0,0.0,90.39936777419999,0.02492545598731376,7.587393273618498e-05,0.0,0.0,0.0,0.0,90.40080698205,0.02493385170802474,8.004564053972759e-05,0.0,0.0,0.0,0.0
4,87.76524872840001,0.024869975002203136,9.033737145568885e-05,0.0,0.0,0.0,0.0,87.7653438184,0.024923647934133188,7.8935407096544e-05,0.0,0.0,0.0,0.0,87.76710247595,0.024931399736832827,8.264754305809164e-05,0.0,0.0,0.0,0.0
5,85.18642798875,0.02486819304710254,9.410977157819317e-05,0.0,0.0,0.0,0.0,85.18651300625,0.02492219429815188,8.127292337066486e-05,0.0,0.0,0.0,0.0,85.18858724719999,0.02493010054967366,8.401983767328329e-05,0.0,0.0,0.0,0.0
6,82.662147676275,0.02486672103760764,9.756888599638094e-05,0.0,0.0,0.0,0.0,82.662220799625,0.02492083562443964,8.33711455582251e-05,0.0,0.0,0.0,0.0,82.6646110182,0.024929143847255038,8.501227618724299e-05,0.0,0.0,0.0,0.0
7,80.1917218147,0.02486542150643654,0.0001010160149878593,0.0,0.0,0.0,0.0,80.1917819142,0.024919550938364118,8.53060835518781e-05,0.0,0.0,0.0,0.0,80.19449594825,0.024928199090007694,8.584924510771056e-05,0.0,0.0,0.0,0.0
8,77.77446621435,0.02486418404188007,0.00010454177176815458,0.0,0.0,0.0,0.0,77.7745113478,0.024918282959982753,8.720175292014456e-05,0.0,0.0,0.0,0.0,77.777556790275,0.02492725471719168,8.660459220379682e-05,0.0,0.0,0.0,0.0
9,75.409692475925,0.024863001104872672,0.0001080892937586318,0.0,0.0,0.0,0.0,75.4097213747,0.02491703946975991,8.902175780214355e-05,0.0,0.0,0.0,0.0,75.413105435375,0.024926292358953505,8.734836164801825e-05,0.0,0.0,0.0,0.0
