level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
0,98.641808724,0.0025171215793304146,2.0420900399831884e-07,0.0,0.0,0.0,0.0,98.64185334915,0.002517098939870484,1.2219670377241575e-07,0.0,0.0,0.0,0.0,98.64310833475,0.002517083698026836,1.753370344484312e-07,0.0,0.0,0.0,0.0
1,95.83570845605001,0.002544749670098536,1.0047387237708303e-05,0.0,0.0,0.0,0.0,95.83577874619999,0.0025445225443912205,8.823919729485368e-06,0.0,0.0,0.0,0.0,95.8368811927,0.0025543964012467767,9.069071049012169e-06,0.0,0.0,0.0,0.0
2,93.08915590670001,0.0025517091205902397,1.0373986107813777e-05,0.0,0.0,0.0,0.0,93.0892603297,0.002551087040819693,8.597198296787511e-06,0.0,0.0,0.0,0.0,93.09038659285,0.0025712266223318877,8.280296438832964e-06,0.0,0.0,0.0,0.0
3,90.39926189855,0.0025537127341900487,1.0834827167531708e-05,0.0,0.0,0.0,0.0,90.39936777419999,0.0025528964091360105,8.673499039382734e-06,0.0,0.0,0.0,0.0,90.40080698205,0.002577803510746453,7.69938584146111e-06,0.0,0.0,0.0,0.0
4,87.76524872840001,0.002554719650077168,1.1262033687906348e-05,0.0,0.0,0.0,0.0,87.7653438184,0.002553855595046189,8.937500279182715e-06,0.0,0.0,0.0,0.0,87.76710247595,0.0025810638304066377,7.968671834957938e-06,0.0,0.0,0.0,0.0
5,85.18642798875,0.0025553274500311816,1.1650127632771179e-05,0.0,0.0,0.0,0.0,85.18651300625,0.00255446766399662,9.266836515237214e-06,0.0,0.0,0.0,0.0,85.18858724719999,0.002583122891363455,8.502229209215018e-06,0.0,0.0,0.0,0.0
6,82.662147676275,0.0025557767853687983,1.2035419683617507e-05,0.0,0.0,0.0,0.0,82.662220799625,0.002554934968292946,9.605191969092583e-06,0.0,0.0,0.0,0.0,82.6646110182,0.002584690644633956,9.149210898820502e-06,0.0,0.0,0.0,0.0
7,80.1917218147,0.0025561386406980453,1.2439429596142394e-05,0.0,0.0,0.0,0.0,80.1917819142,0.002555320818522014,9.954361204352361e-06,0.0,0.0,0.0,0.0,80.19449594825,0.0025860412861930674,9.874526497217477e-06,0.0,0.0,0.0,0.0
8,77.77446621435,0.0025564526879962067,1.2864179148099915e-05,0.0,0.0,0.0,0.0,77.7745113478,0.002555663008618867,1.031425652026569e-05,0.0,0.0,0.0,0.0,77.777556790275,0.0025872370780084747,1.064576345413863e-05,0.0,0.0,0.0,0.0
9,75.409692475925,0.0025567326548916755,1.3300367985030334e-05,0.0,0.0,0.0,0.0,75.4097213747,0.0025559737271047198,1.067046452527595e-05,0.0,0.0,0.0,0.0,75.413105435375,0.0025883057130512317,1.1458494820909486e-05,0.0,0.0,0.0,0.0
10,73.096715447625,0.0025569904353865422,1.3741464026357253e-05,0.0,0.0,0.0,0.0,73.096727076075,0.0025562584324518686,1.0999929994216125e-05,0.0,0.0,0.0,0.0,73.10045298622501,0.0025892813715850936,1.2326459749063164e-05,0.0,0.0,0.0,0.0
11,70.834851132075,0.0025572356027830393,1.4196526458842096e-05,0.0,0.0,0.0,0.0,70.8348447272,0.0025565230642142704,1.1304439892755565e-05,0.0,0.0,0.0,0.0,70.83891184085,0.0025901898951001933,1.3252217682505128e-05,0.0,0.0,0.0,0.0
12,68.62341818132501,0.002557474171068752,1.4671044422853944e-05,0.0,0.0,0.0,0.0,68.6233932005,0.0025567779366555622,1.160864363962683e-05,0.0,0.0,0.0,0.0,68.62779820545,0.0025910527947777882,1.4233221083120214e-05,0.0,0.0,0.0,0.0
13,66.46173761222501,0.0025577050050196704,1.5150924905444129e-05,0.0,0.0,0.0,0.0,66.46169371245,0.002557028576110024,1.1928898331929566e-05,0.0,0.0,0.0,0.0,66.4664320499,0.0025918893296318127,1.5265526226887834e-05,0.0,0.0,0.0,0.0
