level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_mean,-kappa-0.01_theta_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_mean,-kappa-0.1_theta_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_mean,-kappa-1.0_theta_std
0,98.641808724,162.01198463172912,0.04376444606383815,98.64185334915,162.01199665634155,0.042146595761602054,98.64310833475,162.0113445729065,0.041824646562554524
1,95.83570845605001,162.258899773407,0.03711002239978334,95.83577874619999,162.269122133255,0.03763021421162814,95.8368811927,162.2618434109497,0.05957183640271061
2,93.08915590670001,162.25975678627015,0.03166004351950392,93.0892603297,162.26962672622682,0.029218201748959782,93.09038659285,162.2999459425354,0.03785835981507225
3,90.39926189855,162.25574759269713,0.031608151679967014,90.39936777419999,162.2642670463562,0.03003374204832088,90.40080698205,162.29752218093873,0.03077786335024962
4,87.76524872840001,162.24721487007142,0.0329998093773172,87.7653438184,162.25622750968932,0.03015089014849761,87.76710247595,162.29143021575928,0.029691368411349308
5,85.18642798875,162.24431547096253,0.033919553060370526,85.18651300625,162.2531325656891,0.03057917765765669,85.18858724719999,162.28938105285644,0.02965076379727029
6,82.662147676275,162.2415072543335,0.034633462822555736,82.662220799625,162.25036632865906,0.030743697596934072,82.6646110182,162.28881149749756,0.02900059826314265
7,80.1917218147,162.23994571624755,0.03523042013112172,80.1917819142,162.24860839569092,0.031043122275284607,80.19449594825,162.28903866043092,0.0282717097907661
8,77.77446621435,162.23841626060485,0.035795954070478336,77.7745113478,162.2469875504303,0.03128039899953568,77.777556790275,162.28962029670714,0.027298292476441388
9,75.409692475925,162.23730349472046,0.036314723084577415,75.4097213747,162.2457388922119,0.031536836082656464,75.413105435375,162.29035409980773,0.026451984151505358
10,73.096715447625,162.23629707817076,0.03680439936971552,73.096727076075,162.24463613883972,0.03176290681199646,73.10045298622501,162.29098187789916,0.025835303877050034
11,70.834851132075,162.23548088615416,0.03727149294358953,70.8348447272,162.24371956192016,0.03197660868857449,70.83891184085,162.29154537208558,0.02539359962732954
12,68.62341818132501,162.23475046951293,0.03772645164947313,68.6233932005,162.24291224960328,0.032170908021204994,68.62779820545,162.2921250075531,0.024986611735670416
13,66.46173761222501,162.2341266770172,0.03816362069349995,66.46169371245,162.24221170066832,0.03235582325341973,66.4664320499,162.2927762402344,0.02456614337156098
14,64.34913326542501,162.2335829284668,0.038573918157309775,64.34907020885,162.24159084358214,0.03252570005301823,64.3541367326,162.29351901641846,0.024108464270469577
15,62.284931706925,162.23311931297303,0.038948362411853545,62.2848493881,162.24104336280823,0.032680429917258856,62.290238729924994,162.2943567590332,0.023623972042761995
16,60.268462486699995,162.23271803741454,0.039295801151198025,60.268360807149996,162.2405580015564,0.03281697884068049,60.27406733975,162.29526840881348,0.023143314793590046
17,58.2990580079,162.23236964675903,0.03962925210661533,58.298937020699995,162.24013448059083,0.03292723472708784,58.304954587675,162.29622855628966,0.022692556224756945
18,56.376053721925004,162.2320621675873,0.03995340777484973,56.375913578375,162.2397723310089,0.033001857988379686,56.382235467425,162.2972303139496,0.022267636207263568
19,54.498788078124996,162.23179208839417,0.04027049178326614,54.4986290922,162.2394692617035,0.033041590013422426,54.50524813187501,162.29828941696167,0.021841776236418278
20,52.66660257665,162.23155927520753,0.0405737279432483,52.666425198925,162.239221279068,0.033050865658557985,52.673334049425,162.29942353660584,0.021383139329523803
21,50.878841872175,162.23136579711914,0.04084727594170943,50.8786466664,162.23902382759096,0.033034237596283045,50.8858380079,162.30064280685426,0.02087098888430276
22,49.13485372755,162.23121139640807,0.041079498416694976,49.134641388125,162.2388691824341,0.03299682577360828,49.142107984525005,162.30194695472719,0.02030423549127438
23,47.433989001,162.23109170654297,0.041268865678949114,47.4337603449,162.23874775810242,0.03294769194956411,47.441495203524994,162.30333535354615,0.01969657904159528
24,45.775601684849995,162.2310063646698,0.041423288150805,45.775357674675,162.23865659133912,0.03289238196259274,45.783354032774994,162.30480409828186,0.01905159857296061
25,44.159049066399994,162.2309552520752,0.04154654615374376,44.1587907566,162.23859413856508,0.03283184942480122,44.167041936475,162.30634353805542,0.01835676549036854
26,42.583691592150004,162.23093741867066,0.04163990772158266,42.58342019115,162.23856017341615,0.03276283903346395,42.591919535125,162.30794522445677,0.017649270925175105
27,41.048893004625,162.2309543951416,0.041705814577549585,41.0486098336625,162.23855480125428,0.032683154000001775,41.0573508172,162.3096636354065,0.017027016633556866
