level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_v_mean,-kappa-0.01_theta_v_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_v_mean,-kappa-0.1_theta_v_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_v_mean,-kappa-1.0_theta_v_std
0,98.641808724,158.06102519268003,0.04268800955960859,98.64185334915,158.0610275996118,0.04109703944656469,98.64310833475002,158.06039374749702,0.04078285108271172
1,95.83570845604999,158.3008476360465,0.031690153037899224,95.83577874619999,158.30512930743117,0.03067396310056919,95.8368811927,158.29263073179544,0.0515177706259022
2,93.08915590670001,158.30125441046795,0.02534015138023262,93.08926032970002,158.30391868312876,0.021451876726599175,93.09038659284998,158.32532082645682,0.030041749059323216
3,90.39926189854998,158.29725816566662,0.0239616658339994,90.39936777420003,158.2982257154741,0.021465945873957972,90.40080698205001,158.32137357345138,0.02097549231736694
4,87.76524872839998,158.28891756842714,0.024804393725387362,87.76534381840001,158.29021823273365,0.02131055037780916,87.76710247595001,158.31454879061792,0.019367794496388088
5,85.18642798875,158.28608541438203,0.025207788328003047,85.18651300625,158.28713098733147,0.02145050743016189,85.18858724719998,158.31192994241937,0.019352276553382133
6,82.66214767627501,158.28336695973783,0.025584708099071634,82.66222079962502,158.28441866560556,0.021409376343812167,82.66461101819999,158.31088068392017,0.018849972296326224
7,80.19172181469997,158.2818778810502,0.0258403434669281,80.1917819142,158.2827177215299,0.021524246275887855,80.19449594825001,158.310690716009,0.018279438017196715
8,77.77446621435001,158.28043330737142,0.02609971516356952,77.7745113478,158.28117073373565,0.02160120157213312,77.777556790275,158.3109061466693,0.017531575155999974
9,75.40969247592501,158.27940256495776,0.026314461039277266,75.4097213747,158.2799994919831,0.021707045755156043,75.413105435375,158.31132092196515,0.016925134488359136
10,73.09671544762497,158.27848213299242,0.02651508774662945,73.096727076075,158.2789784912179,0.02179498856742114,73.100452986225,158.31167585582762,0.016562606575643794
11,70.83485113207499,158.27775481470712,0.02669111237731578,70.8348447272,158.27814426240553,0.021879009771130872,70.83891184084999,158.3120008142266,0.01639168812323667
12,68.62341818132501,158.2771193112541,0.026850809971987626,68.62339320049999,158.27742316340516,0.02194582149877768,68.62779820545,158.31236433964798,0.016280208305156578
13,66.46173761222501,158.27659190587312,0.026991326934626515,66.46169371245,158.27681267790211,0.0220018371885016,66.4664320499,158.31281321859012,0.016177013235367015
