level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
0,98.62439433864999,0.002517272737461608,6.609055436695399e-07,0.0,0.0,0.0,0.0,98.62449995695,0.0025172480057284704,5.885400219581585e-07,0.0,0.0,0.0,0.0,98.6244772742,0.00251724871909013,7.151715223220209e-07,0.0,0.0,0.0,0.0
1,95.8184104972,0.002553472868951503,1.2482546882630756e-05,0.0,0.0,0.0,0.0,95.81851741295,0.0025516342134913428,1.1370724996600746e-05,0.0,0.0,0.0,0.0,95.81863475915,0.0025658463334897533,1.5234153984300729e-05,0.0,0.0,0.0,0.0
2,93.07152128359999,0.0025632276300759987,1.2585742453157376e-05,0.0,0.0,0.0,0.0,93.07163114724999,0.0025608619692572394,1.0975359542850025e-05,0.0,0.0,0.0,0.0,93.0720898466,0.002581777658633655,1.4825064136173819e-05,0.0,0.0,0.0,0.0
3,90.38122736940001,0.0025667824853479394,1.283165295171971e-05,0.0,0.0,0.0,0.0,90.3813312883,0.002564221981734736,1.1024666992751915e-05,0.0,0.0,0.0,0.0,90.38217442445,0.0025881180060037877,1.5050334499920723e-05,0.0,0.0,0.0,0.0
4,87.74684891310001,0.0025687511930416805,1.3180166948909144e-05,0.0,0.0,0.0,0.0,87.7469379071,0.002566122714895755,1.1311077927559744e-05,0.0,0.0,0.0,0.0,87.74814252315,0.0025917598738369996,1.5613593225467512e-05,0.0,0.0,0.0,0.0
5,85.16770108610001,0.0025700526564603208,1.355771366540592e-05,0.0,0.0,0.0,0.0,85.16777065115,0.0025674090087157674,1.1673320769445217e-05,0.0,0.0,0.0,0.0,85.16932557815001,0.002594301628501853,1.6245826225619647e-05,0.0,0.0,0.0,0.0
6,82.643128175275,0.002571029506091727,1.393895160833044e-05,0.0,0.0,0.0,0.0,82.643176117775,0.002568397813263582,1.2051214570255034e-05,0.0,0.0,0.0,0.0,82.645068669525,0.002596271525976481,1.6854474506185356e-05,0.0,0.0,0.0,0.0
7,80.1724389748,0.0025718134105252102,1.4314924529822158e-05,0.0,0.0,0.0,0.0,80.172464207425,0.0025692064539447894,1.2425492427134646e-05,0.0,0.0,0.0,0.0,80.1746844651,0.0025979078124649824,1.7445458004411696e-05,0.0,0.0,0.0,0.0
8,77.754947894875,0.0025724726925301367,1.4678316236265143e-05,0.0,0.0,0.0,0.0,77.754950247575,0.0025698954196146226,1.2784053875740798e-05,0.0,0.0,0.0,0.0,77.75748728387501,0.0025993394428887404,1.8053536883095498e-05,0.0,0.0,0.0,0.0
9,75.389964978,0.0025730436742922758,1.5026244737165112e-05,0.0,0.0,0.0,0.0,75.3899448823,0.002570496165562654,1.3122312921792208e-05,0.0,0.0,0.0,0.0,75.3927883323,0.00260064384653233,1.8704581574032787e-05,0.0,0.0,0.0,0.0
10,73.0768042405,0.0025735509787406774,1.5357656315001e-05,0.0,0.0,0.0,0.0,73.07676254715,0.0025710312807688024,1.3438588871688678e-05,0.0,0.0,0.0,0.0,73.07990155602499,0.00260186566819204,1.940790320374453e-05,0.0,0.0,0.0,0.0
11,70.81478045505,0.002574009646155173,1.5672167447690284e-05,0.0,0.0,0.0,0.0,70.81471838435,0.0025715161342627834,1.3734564780767473e-05,0.0,0.0,0.0,0.0,70.818141993725,0.0026030261365952902,2.0159072010812103e-05,0.0,0.0,0.0,0.0
12,68.60321145902499,0.002574430369260954,1.5970556804087932e-05,0.0,0.0,0.0,0.0,68.60313030975,0.0025719637800194323,1.4015398422996395e-05,0.0,0.0,0.0,0.0,68.6068275372,0.002604132101708092,2.094037900034726e-05,0.0,0.0,0.0,0.0
13,66.4414173348,0.002574820617955411,1.6254496382072413e-05,0.0,0.0,0.0,0.0,66.4413184111,0.0025723843868577386,1.4287366741209176e-05,0.0,0.0,0.0,0.0,66.445278052825,0.002605185465818504,2.1727350770494906e-05,0.0,0.0,0.0,0.0
14,64.32872112507499,0.0025751863116759343,1.6525594868512476e-05,0.0,0.0,0.0,0.0,64.32860583897501,0.0025727852965984495,1.455416785298992e-05,0.0,0.0,0.0,0.0,64.332816577425,0.0026061899943940806,2.2501111535447518e-05,0.0,0.0,0.0,0.0
15,62.26444838065,0.0025755321898544205,1.6785544128570153e-05,0.0,0.0,0.0,0.0,62.264318240225,0.0025731705699162557,1.4815443312791273e-05,0.0,0.0,0.0,0.0,62.268768621475,0.0026071530531940517,2.3254890452072664e-05,0.0,0.0,0.0,0.0
16,60.247927947475,0.0025758624126727228,1.7036453677993428e-05,0.0,0.0,0.0,0.0,60.24778435075,0.0025735425585799387,1.5068927371125934e-05,0.0,0.0,0.0,0.0,60.25246282455,0.002608080986586865,2.3984758784893255e-05,0.0,0.0,0.0,0.0
17,58.27849138225,0.0025761805909336544,1.728056477906695e-05,0.0,0.0,0.0,0.0,58.278335688,0.0025739043476840015,1.531559886285506e-05,0.0,0.0,0.0,0.0,58.283230731924995,0.002608975831241114,2.468072404927347e-05,0.0,0.0,0.0,0.0
18,56.355473398525,0.002576489925147034,1.7520142058116e-05,0.0,0.0,0.0,0.0,56.355306935575,0.0025742597494006624,1.5559266924463528e-05,0.0,0.0,0.0,0.0,56.3604069302,0.0026098381956247614,2.53324639279536e-05,0.0,0.0,0.0,0.0
19,54.478211698225,0.0025767928324069364,1.775683669678524e-05,0.0,0.0,0.0,0.0,54.47803581025,0.002574612096460769,1.5803332122330652e-05,0.0,0.0,0.0,0.0,54.4833291481,0.0026106709562416655,2.593763252800844e-05,0.0,0.0,0.0,0.0
20,52.646047114725,0.002577091202187585,1.799166095492551e-05,0.0,0.0,0.0,0.0,52.645863143625,0.002574963554214919,1.6049201618366403e-05,0.0,0.0,0.0,0.0,52.6513382397,0.0026114792398468124,2.6500797150209896e-05,0.0,0.0,0.0,0.0
21,50.858323625450005,0.002577386839588871,1.8225320751872093e-05,0.0,0.0,0.0,0.0,50.858132882700005,0.002575315449910704,1.6297011863658944e-05,0.0,0.0,0.0,0.0,50.863778139124996,0.002612268900470808,2.7028529272027307e-05,0.0,0.0,0.0,0.0
22,49.114388316275004,0.0025776816623751075,1.8458606720363174e-05,0.0,0.0,0.0,0.0,49.114192103725,0.0025756691312324256,1.6547278964729496e-05,0.0,0.0,0.0,0.0,49.119996072899994,0.0026130450866406318,2.7526543557067036e-05,0.0,0.0,0.0,0.0
23,47.413591504450004,0.0025779778289538808,1.869283570199697e-05,0.0,0.0,0.0,0.0,47.413391034775,0.002576026181887137,1.680086964613063e-05,0.0,0.0,0.0,0.0,47.419342363775,0.002613812141243834,2.7999221594665568e-05,0.0,0.0,0.0,0.0
24,45.75528672709999,0.002578277472712798,1.892950182004963e-05,0.0,0.0,0.0,0.0,45.75508314875,0.0025763880689255894,1.70583906202629e-05,0.0,0.0,0.0,0.0,45.761170628725004,0.0026145743311499245,2.8450257133746757e-05,0.0,0.0,0.0,0.0
25,44.1388306498,0.0025785825196781662,1.9170040225682077e-05,0.0,0.0,0.0,0.0,44.138625167425,0.0025767559326451738,1.7319519753134972e-05,0.0,0.0,0.0,0.0,44.144837749749996,0.0026153360048949254,2.8883081819544112e-05,0.0,0.0,0.0,0.0
26,42.563583308575005,0.002578894800656708,1.941599906497361e-05,0.0,0.0,0.0,0.0,42.56337693375,0.002577130675733788,1.7583240133969032e-05,0.0,0.0,0.0,0.0,42.569703897675,0.002616101151877083,2.930063648292522e-05,0.0,0.0,0.0,0.0
27,41.028907850687496,0.002579216066872468,1.9668769498544235e-05,0.0,0.0,0.0,0.0,41.0287017386125,0.002577513502967777,1.78491092084974e-05,0.0,0.0,0.0,0.0,41.035132393375,0.0026168739212630316,2.9706762646252712e-05,0.0,0.0,0.0,0.0
28,39.5341709186375,0.0025795479692507068,1.992952400865242e-05,0.0,0.0,0.0,0.0,39.5339660173,0.00257790621749009,1.8118004405361728e-05,0.0,0.0,0.0,0.0,39.5404899834125,0.002617658534247894,3.010605587249372e-05,0.0,0.0,0.0,0.0
29,38.078742319725,0.0025798920909524893,2.019954541788118e-05,0.0,0.0,0.0,0.0,38.07853958065,0.002578311163240578,1.8392129201760242e-05,0.0,0.0,0.0,0.0,38.0851466502125,0.0026184591482183894,3.050355737809274e-05,0.0,0.0,0.0,0.0
30,36.6619952296625,0.0025802501656475942,2.048034218157084e-05,0.0,0.0,0.0,0.0,36.66179558685,0.002578731242681388,1.867493104961884e-05,0.0,0.0,0.0,0.0,36.6684757010375,0.0026192800410056952,3.0905093606938766e-05,0.0,0.0,0.0,0.0
31,35.2833061689375,0.002580624002922559,2.077354316560615e-05,0.0,0.0,1.4012984643248172e-50,4.4312726724330885e-48,35.2831105209625,0.0025791696786589455,1.8970486290162926e-05,0.0,0.0,7.707141553786494e-50,1.2919103599593497e-47,35.289853816275,0.002620125561816385,3.131682674161707e-05,0.0,0.0,4.2038953929744513e-50,8.862489953230759e-48
32,33.9420550402375,0.002581015588908922,2.1081163091422908e-05,0.0,0.0,1.7516230804060214e-48,7.279253230315411e-47,33.9418641940875,0.002579629914677935,1.9282769675086827e-05,0.0,0.0,2.4732917895333022e-48,1.431924415803353e-46,33.9486609979625,0.00262100026189466,3.174463940565986e-05,0.0,0.0,1.6184997262951637e-48,9.752539973967283e-47
33,32.63762513885,0.0025814273609535304,2.14059714265773e-05,0.0,0.0,1.5850086929978006e-46,9.921610023756418e-46,32.63743983015,0.0025801154974952807,1.961495506939887e-05,0.0,0.0,1.7454573671629922e-46,1.6974547877774476e-45,32.644280709475,0.002621908996752463,3.219426311480865e-05,0.0,0.0,1.1609057127698947e-46,1.1977878498868159e-45
34,31.369403124475,0.0025818625972233713,2.175172619542591e-05,0.0,0.0,4.2926816636740714e-45,1.21202641751968e-44,31.36922407015,0.002580630286843516,1.9969508959947133e-05,0.0,0.0,4.847287569884548e-45,1.9410463944582296e-44,31.3760997698125,0.002622857334797736,3.26712553758885e-05,0.0,0.0,3.9537005586615765e-45,1.3903769703408552e-44
