case,time_days,theta_1bar,theta_6bar,theta_30bar
$\nu=$0.01,131.94449074074075,159.8163202148621,160.29339618694175,162.18162123870553
$\nu=$0.01,133.10190972222222,159.79583367760029,160.19870851892378,162.17964742289087
$\nu=$0.01,134.25930555555556,159.81663479908502,160.19279353444193,162.18267974085262
$\nu=$0.01,135.41679398148148,159.80198577730124,160.22405580498807,162.1830638744314
$\nu=$0.01,136.57414351851853,159.72210202146954,160.23243378197856,162.1830860770616
$\nu=$0.01,137.73150462962963,159.6766944158593,160.18896452718369,162.18228202078612
$\nu=$0.01,138.88902777777778,159.6520371576773,160.19635344209826,162.1851802938741
$\nu=$0.01,140.0463425925926,159.66527282776872,160.22091407513244,162.18112052108398
$\nu=$0.01,141.20372685185185,159.69408205281127,160.21600290262967,162.177801440962
$\nu=$0.01,142.3611226851852,159.63853250645002,160.17809689580116,162.1855462213637
$\nu=$0.01,143.51855324074074,159.67995722088313,160.1112932475255,162.18289817054492
$\nu=$0.01,144.67604166666666,159.70765093848766,160.10237622008228,162.18191563865557
$\nu=$0.01,145.83344907407408,159.66280891913,160.06831941736934,162.18838271106156
$\nu=$0.01,146.99084490740742,159.73469245352936,160.03702942456357,162.18647196765255
$\nu=$0.01,148.1482175925926,159.71493529208252,160.03303495267232,162.1849078208891
$\nu=$0.01,149.30555555555554,159.73709163021036,160.03690420593537,162.1833577780837
$\nu=$0.01,150.46296296296296,159.63400134972045,160.07312139811916,162.18515234115557
$\nu=$0.01,151.62038194444443,159.6129000267042,160.03887016955002,162.1879306049684
$\nu=$0.01,152.77784722222222,159.59133739515525,160.01107076872924,162.18885461327204
$\nu=$0.01,153.93530092592593,159.53997581317213,159.9869314706499,162.18556801458033
$\nu=$0.01,155.0926388888889,159.59384769153885,159.9995839656343,162.18953626477338
$\nu=$0.01,156.25008101851853,159.6335990463117,160.0350535755677,162.1839197010519
$\nu=$0.01,157.40743055555555,159.630421957573,160.02368284098847,162.18121093530124
$\nu=$0.01,158.56491898148147,159.6167691522893,160.06977935043736,162.18540512526093
$\nu=$0.01,159.72224537037036,159.60412058482868,160.0523447584786,162.18570922390376
$\nu=$0.01,160.87971064814815,159.55852767153814,160.0656043445327,162.1877940592717
$\nu=$0.01,162.03704861111112,159.50556745335044,160.09277250087607,162.18979904314446
$\nu=$0.01,163.19452546296296,159.46107462876313,160.08069283680908,162.18598263850708
$\nu=$0.01,164.35194444444446,159.45752241720726,160.02175547006527,162.18869874236594
$\nu=$0.01,165.509375,159.52461520172238,159.99404042264143,162.1852511610269
$\nu=$0.01,166.66677083333335,159.57266486327495,159.99577077661795,162.1883095031705
$\nu=$0.01,167.82409722222224,159.49388640963542,159.96072334281223,162.18871626387966
$\nu=$0.01,168.98152777777779,159.5081286999285,160.00747819393825,162.19034442527249
$\nu=$0.01,170.13891203703704,159.57925178326835,159.8752519800184,162.1878983413398
$\nu=$0.01,171.29638888888888,159.6488111659156,159.9126502783385,162.1906188237697
$\nu=$0.01,172.45372685185185,159.60800758521356,159.8797133775414,162.1869941858393
$\nu=$0.01,173.6111574074074,159.61089150734577,159.9605187483292,162.18983260537698
$\nu=$0.01,174.76856481481482,159.58921221717628,159.96707524704112,162.18984902921514
$\nu=$0.01,175.92605324074074,159.58273079861027,159.94683831074408,162.18881641523848
$\nu=$0.01,177.08344907407408,159.5274382529183,159.88259498210073,162.18814468137953
$\nu=$0.01,178.24078703703702,159.56901811316,159.8811149913126,162.18804306632344
$\nu=$0.01,179.3982523148148,159.56553452840905,159.91206613793352,162.19095262376985
$\nu=$0.01,180.55568287037036,159.54739088333164,159.891678952723,162.18876959728962
$\nu=$0.01,181.71297453703704,159.57347587252096,159.90737959924112,162.18650324676165
$\nu=$0.01,182.87045138888888,159.5384995065686,159.89104781983156,162.18942958624277
$\nu=$0.01,184.0278935185185,159.5277243677707,159.98513162845856,162.19914176357543
$\nu=$0.01,185.1852199074074,159.56949420850478,159.90563100021868,162.1914740948381
$\nu=$0.01,186.3426736111111,159.64078000550208,159.90927002872948,162.18884125390727
$\nu=$0.01,187.50005787037037,159.64170470265722,159.89261536240554,162.1871245486144
$\nu=$0.01,188.65748842592592,159.61755693916695,159.97110346813855,162.1846434416995
$\nu=$0.01,189.81488425925926,159.5736113825263,159.9318656422586,162.1824462792657
$\nu=$0.01,190.9722800925926,159.63634879159946,159.9524581035615,162.18246385123223
$\nu=$0.01,192.12966435185186,159.64810059500726,159.99152953180902,162.18735881705825
$\nu=$0.01,193.2870601851852,159.62298065416334,159.99319192849583,162.1830205125499
$\nu=$0.01,194.44444444444446,159.63463346943138,159.99568086444424,162.1838902122519
$\nu=$0.01,195.601875,159.58816287797197,159.96993838290226,162.18683399452442
$\nu=$0.01,196.75939814814814,159.70921344635863,159.88237155192266,162.1892006378627
$\nu=$0.01,197.91668981481482,159.7370265842913,159.93572752520717,162.18555264263148
$\nu=$0.01,199.07407407407408,159.77417040213444,159.90193816554185,162.183268187999
$\nu=$0.01,200.23152777777779,159.73038981888595,159.9875130507651,162.18286466181476
$\nu=$0.01,201.38895833333333,159.64879612114433,160.0418411256762,162.1851688487115
$\nu=$0.01,202.54641203703704,159.63900460908522,159.98365488692073,162.18872348798928
$\nu=$0.01,203.70372685185185,159.6953470663091,159.96057960532406,162.18765138830244
$\nu=$0.01,204.86118055555556,159.77856912487914,159.94408909293466,162.18728081163027
$\nu=$0.01,206.01856481481482,159.769113051487,160.01083494691386,162.1825577050974
$\nu=$0.01,207.17592592592592,159.67944822881378,159.93039648318575,162.19037234514056
$\nu=$0.01,208.3334027777778,159.69296567338517,159.9700363198242,162.18530800819806
$\nu=$0.01,209.49083333333334,159.700403799482,159.9975626841032,162.1821619546132
$\nu=$0.01,210.64819444444444,159.67225418246645,159.96277907801598,162.18237673806945
$\nu=$0.01,211.80569444444444,159.7454377326787,159.89951797330497,162.1701984836277
$\nu=$0.01,212.96298611111112,159.7912026432502,159.91840439045126,162.18056789207532
$\nu=$0.01,214.1204398148148,159.81574010887536,159.88269549099175,162.18590581922933
$\nu=$0.01,215.2778935185185,159.79559747346806,160.00709377472023,162.18172218001047
$\nu=$0.01,216.43525462962964,159.81034402517977,159.93946327727116,162.18590193501754
$\nu=$0.01,217.59261574074074,159.80655483386712,159.99051192032985,162.18435513070904
$\nu=$0.01,218.75,159.7648686058941,160.08980697800226,162.18180190089473
$\nu=$0.01,219.90740740740742,159.69941871890032,159.9949797184326,162.1846104763268
$\nu=$0.01,221.0648611111111,159.73931657657502,160.01883531338075,162.18726028235855
$\nu=$0.01,222.22233796296297,159.71860518591183,160.05346823632766,162.1822712126042
$\nu=$0.01,223.37962962962962,159.64931989753595,160.0792661968573,162.18304710628857
$\nu=$0.01,224.5370601851852,159.6181399732661,160.10763731879385,162.1872240422661
$\nu=$0.01,225.69451388888888,159.60696959539445,160.09178352015766,162.18773261299862
$\nu=$0.01,226.85189814814814,159.63453972993773,160.08442826936835,162.18794932833958
$\nu=$0.01,228.00935185185185,159.70537160250996,160.13061382608117,162.1896672304173
$\nu=$0.01,229.16671296296298,159.65853983315915,160.0605805519848,162.18711986267627
$\nu=$0.01,230.32412037037037,159.63311078241705,160.06355062310408,162.1906210118328
$\nu=$0.01,231.48150462962963,159.6073015059807,160.0518036798014,162.190117232923
$\nu=$0.01,232.63895833333333,159.56595850198173,160.04915382986033,162.19377970775122
$\nu=$0.01,233.7963425925926,159.55246205190744,160.05009011214005,162.1904914822737
$\nu=$0.01,234.95377314814814,159.51584018978403,160.0401723974417,162.18839407718275
$\nu=$0.01,236.11113425925927,159.50981778770986,160.08466033290526,162.19170906278876
$\nu=$0.01,237.26858796296295,159.55271299061135,160.0369111243101,162.19318137661946
$\nu=$0.01,238.42599537037037,159.5420946190404,160.07988136629982,162.1929662165084
$\nu=$0.01,239.58344907407408,159.505434837618,160.01245664740068,162.19428191624792
$\nu=$0.01,240.74074074074073,159.56681047891374,160.07289742897896,162.1908332998981
$\nu=$0.01,241.89819444444444,159.54346616724595,160.03307420059653,162.19254196637104
$\nu=$0.01,243.0555787037037,159.49817742316108,160.01577595205055,162.18956916057562
$\nu=$0.01,244.21305555555554,159.49189477938705,160.06033296184881,162.19355408783593
$\nu=$0.01,245.37037037037038,159.4702627498037,160.10513032359367,162.19210364528465
$\nu=$0.01,246.52780092592593,159.42688123000423,160.0584155514697,162.19142837893673
$\nu=$0.01,247.68525462962964,159.4317645200978,160.07594967791636,162.18835859311943
$\nu=$0.01,248.84270833333332,159.4686516679178,160.00035306613609,162.18725845026685
$\nu=$0.01,250.0001388888889,159.4891647943497,159.99234417803936,162.18713900006935
$\nu=$0.01,251.15740740740742,159.4143440538234,159.98174364223667,162.19008278996853
$\nu=$0.01,252.3148611111111,159.4123111248327,159.8575524158072,162.1914943942177
$\nu=$0.01,253.47226851851852,159.53443553530903,159.8561047692597,162.19058178902227
$\nu=$0.01,254.62967592592594,159.53937340460746,159.8416352612147,162.19528957342652
$\nu=$0.01,255.78715277777778,159.5974823875391,159.86504842591154,162.19407294139495
$\nu=$0.01,256.9444907407407,159.63540457048865,159.85485401376283,162.1968729622959
$\nu=$0.01,258.1019675925926,159.54420442281005,159.9211481117374,162.19580731270153
$\nu=$0.01,259.25925925925924,159.4406661389586,159.95307260181397,162.19427852188394
$\nu=$0.01,260.4166898148148,159.41291713267807,159.96385213520807,162.19903435792384
$\nu=$0.01,261.5741435185185,159.3611672990746,160.01501996016898,162.1950885139692
$\nu=$0.01,262.7315046296296,159.4743934189027,159.84827301356177,162.19421837673252
$\nu=$0.01,263.8889351851852,159.60062375799095,159.93135497715326,162.1921123930762
$\nu=$0.01,265.04641203703704,159.65319611342315,159.8543592620542,162.19996380445983
$\nu=$0.01,266.20375,159.69599068131555,159.87755868611862,162.2021650343747
$\nu=$0.01,267.36118055555556,159.72464569695245,159.8932208350039,162.19789868632756
$\nu=$0.01,268.51865740740743,159.62267151026978,159.98180941231254,162.1933329382655
$\nu=$0.01,269.6759490740741,159.5550013116186,159.8503929997454,162.19563672518845
$\nu=$0.01,270.83337962962963,159.56532719998526,159.8457687122912,162.19205223577
$\nu=$0.01,271.9908101851852,159.51820562545956,159.87204075509243,162.18842721477463
$\nu=$0.01,273.1481712962963,159.5958839610651,159.9358699280325,162.18920644558347
$\nu=$0.01,274.30560185185186,159.62409244505824,159.99798837422134,162.1876639918306
$\nu=$0.01,275.46305555555557,159.6716862010857,159.86584996211525,162.1831067063601
$\nu=$0.01,276.6204861111111,159.7044834247403,159.9232495463224,162.18454956513986
$\nu=$0.01,277.77787037037035,159.76803517868964,159.95988240891717,162.18848183741346
$\nu=$0.01,278.9353009259259,159.76882935214383,159.88012890732784,162.1856282203011
$\nu=$0.01,280.09266203703703,159.7052971339313,159.97124106301143,162.18927534587118
$\nu=$0.01,281.2500925925926,159.68777650313413,160.0161548913371,162.18875501832318
$\nu=$0.01,282.40747685185187,159.68267825642064,159.93854968476808,162.18172189978017
$\nu=$0.01,283.5649537037037,159.6872080700551,159.96156677367054,162.18261213200682
$\nu=$0.01,284.72233796296297,159.64621707806523,159.93016117324666,162.19097985248135
$\nu=$0.01,285.8796296296296,159.64421935849134,159.98580609211345,162.18567237879634
$\nu=$0.01,287.0370833333333,159.6043218571053,159.94937892479945,162.18338022948885
$\nu=$0.01,288.1944675925926,159.5880554212101,159.97880461404296,162.182027424573
$\nu=$0.01,289.35192129629627,159.5929105368136,160.04738104147046,162.1814710523536
$\nu=$0.01,290.5092824074074,159.6417303436555,160.0408217667453,162.1851202593915
$\nu=$0.01,291.6667361111111,159.712427855081,160.0153583279743,162.18546315301126
$\nu=$0.01,292.8241435185185,159.69704471165699,160.0227548289506,162.18153246557304
$\nu=$0.01,293.9815972222222,159.6274013691886,160.0867784786832,162.1850754123745
$\nu=$0.01,295.1389814814815,159.57053874036353,160.14078177562135,162.18349450003524
$\nu=$0.01,296.2963888888889,159.53519817099217,160.14820139389474,162.18285684815112
$\nu=$0.01,297.45375,159.5345986606133,160.10653772466358,162.1856480243546
$\nu=$0.01,298.6112268518518,159.56365664253008,160.13498849115263,162.1865490281506
$\nu=$0.01,299.76865740740743,159.57936558521047,160.10652267460526,162.1808422824684
$\nu=$0.01,300.9259259259259,159.56584501819597,160.13924178719472,162.1882785657876
$\nu=$0.01,302.0833333333333,159.52385750752362,160.0888480773552,162.1844611330519
$\nu=$0.01,303.2408796296296,159.58347382316586,160.11260784560946,162.1835636078582
$\nu=$0.01,304.3982638888889,159.52225086996725,160.04981837149666,162.18867701549857
$\nu=$0.01,305.5555787037037,159.59500997913673,160.03810368828417,162.1927774334469
$\nu=$0.01,306.7129861111111,159.6287091288085,159.97224236459434,162.18903109842148
$\nu=$0.01,307.8704398148148,159.68204792669584,159.91922169178312,162.1880938177109
$\nu=$0.01,309.02787037037035,159.66074476415395,159.95554941566684,162.18418291198668
$\nu=$0.01,310.1853009259259,159.59701178785474,159.92629099744047,162.18902187778042
$\nu=$0.01,311.34270833333335,159.56334529313756,160.01085555500035,162.1900576551545
$\nu=$0.01,312.5000925925926,159.53567382978537,159.96517909399768,162.1900407728113
$\nu=$0.01,313.65747685185187,159.62851791101778,160.0560517805998,162.19375417488095
$\nu=$0.01,314.8149305555556,159.61346362552607,160.06641638064238,162.18601693979258
$\nu=$0.01,315.97222222222223,159.55114951316457,159.99610237836674,162.18880245130075
$\nu=$0.01,317.12974537037036,159.6353160101406,159.964571455887,162.1895388898293
$\nu=$0.01,318.2871759259259,159.64382645838248,160.03216509259641,162.19149141592376
$\nu=$0.01,319.4445138888889,159.66350815711212,159.97677230509942,162.1913496346511
$\nu=$0.01,320.60192129629627,159.60152143955617,160.03841566545546,162.18947172900525
$\nu=$0.01,321.7592824074074,159.59514899451494,160.08757220612776,162.18905925985055
$\nu=$0.01,322.91675925925927,159.56177455410918,160.06140180333438,162.1866240147098
$\nu=$0.01,324.07409722222224,159.65052114555442,160.11345683789824,162.1826410290743
$\nu=$0.01,325.2315972222222,159.61415277791718,160.06222469161187,162.18231305103328
$\nu=$0.01,326.38900462962965,159.56561529958796,160.01372249793295,162.18867978721005
$\nu=$0.01,327.5463657407407,159.54867255577025,160.03734942974637,162.18843944546026
$\nu=$0.01,328.7037037037037,159.54593971731126,160.06985699540405,162.1884520064741
$\nu=$0.01,329.86125,159.53355786646526,160.08436342757312,162.1892072566029
$\nu=$0.01,331.01858796296295,159.5811292346848,160.14219233965497,162.18748519115408
$\nu=$0.01,332.17599537037034,159.50812656013818,160.135752563142,162.1917363968993
$\nu=$0.01,333.33344907407405,159.50124278931384,160.25478409950213,162.18954117701452
$\nu=$0.01,334.4908564814815,159.50316581805492,160.2056813031678,162.19184144037857
$\nu=$0.01,335.64824074074073,159.45590292654478,160.18793789621427,162.1904639042021
$\nu=$0.01,336.805625,159.44117561592248,160.1807503586925,162.19218339543275
$\nu=$0.01,337.96305555555557,159.47264532196942,160.22792071363625,162.19070044951675
$\nu=$0.01,339.1203703703704,159.41118699684992,160.1949523145848,162.18894692831293
$\nu=$0.01,340.27777777777777,159.43972337436648,160.1944820317092,162.19546666431458
$\nu=$0.01,341.4352083333333,159.53654023235464,160.07763827991909,162.18924894666472
$\nu=$0.01,342.5926851851852,159.57524941648862,160.0916574785081,162.19062318363768
$\nu=$0.01,343.75011574074074,159.53272667920234,159.96476816613014,162.19152737828412
$\nu=$0.01,344.9075462962963,159.55964764198436,160.02209721091563,162.18900019654822
$\nu=$0.01,346.06483796296294,159.62510781401986,159.88882744120016,162.19221132006203
$\nu=$0.01,347.22233796296297,159.70542811951614,159.87919800554155,162.19773519587133
$\nu=$0.01,348.3797222222222,159.74120880431673,159.90234532266206,162.19683086165887
$\nu=$0.01,349.5370833333333,159.70384328975288,159.86796532998184,162.1962911248986
$\nu=$0.01,350.6944675925926,159.57997832810238,159.87845842993383,162.19143585950238
$\nu=$0.01,351.85185185185185,159.50979404619514,159.89219249488744,162.1912788158277
$\nu=$0.01,353.00939814814814,159.4770351094446,159.93645760762422,162.19502903916694
$\nu=$0.01,354.1666898148148,159.44072669101553,160.00345511291738,162.1895806678244
$\nu=$0.01,355.3241203703704,159.4787514995443,160.0515406945658,162.19377175295912
$\nu=$0.01,356.4815046296296,159.54239592024595,160.03681408609708,162.18700787277731
$\nu=$0.01,357.638912037037,159.58184006024558,160.02722873437668,162.17564847814631
$\nu=$0.01,358.7964351851852,159.6101293410727,159.9638152051954,162.18427223647785
$\nu=$0.01,359.9538425925926,159.55199552659653,160.05152918817757,162.19027524285303
$\nu=$0.01,361.11113425925925,159.49709984008942,160.126031038035,162.18806706059783
$\nu=$0.01,362.2686111111111,159.51235507577917,160.07787091841763,162.1859510814812
$\nu=$0.01,363.4260648148148,159.52031126815262,160.08251187364576,162.18744525228865
$\nu=$0.01,364.58344907407405,159.4742094108102,160.02361206885533,162.18548021265528
$\nu=$0.01,365.7408101851852,159.49770936897713,160.01688727799413,162.18773773715355
$\nu=$0.01,366.89824074074073,159.47634990940918,160.01159530946157,162.19012369160274
$\nu=$0.01,368.0556712962963,159.4251973696876,159.9955138855239,162.18955325047062
$\nu=$0.01,369.2130324074074,159.46580104903873,159.9927390917631,162.18916814778777
$\nu=$0.01,370.37041666666664,159.53529645609112,159.9660198623227,162.18960607693046
$\nu=$0.01,371.52780092592593,159.66516787912542,159.8973886949984,162.19064494292056
$\nu=$0.01,372.6852777777778,159.70000791978487,159.89416794110332,162.18397789737708
$\nu=$0.01,373.8427314814815,159.70321162072136,159.91025531543224,162.18562284484008
$\nu=$0.01,375.0,159.58328469687018,159.82631371779908,162.19240579850566
$\nu=$0.01,376.15743055555555,159.5447380555636,159.88679600928242,162.1904419892724
$\nu=$0.01,377.3149305555556,159.52812253167812,159.9277845065374,162.1893700710545
$\nu=$0.01,378.4722453703704,159.48319685608058,159.92046787301933,162.1903275606137
$\nu=$0.01,379.62967592592594,159.50205402819114,159.9699142481335,162.18198055464845
$\nu=$0.01,380.78706018518517,159.45613568073995,159.90910289177367,162.1872441476414
$\nu=$0.01,381.9445138888889,159.53237371982223,159.9527176256485,162.18938944593828
$\nu=$0.01,383.10189814814817,159.50895739025324,159.98205077126678,162.19233448999464
$\nu=$0.01,384.2593287037037,159.46168222874758,159.99406563198326,162.18907392826026
