level,-nu-0.01_pressure_bar,-nu-0.01_theta_mean,-nu-0.01_theta_std,-nu-0.1_pressure_bar,-nu-0.1_theta_mean,-nu-0.1_theta_std,-nu-1.0_pressure_bar,-nu-1.0_theta_mean,-nu-1.0_theta_std
0,98.62439433864999,162.01993582633972,0.040697604910115384,98.62449995695,162.01992275886536,0.04026157442674194,98.6244772742,162.0199398878479,0.03766169920789742
1,95.8184104972,162.2344709551239,0.029190014072837417,95.81851741295,162.23903876876832,0.027599781153201813,95.81863475915,162.2608950112915,0.02601138755666097
2,93.07152128359999,162.2261108013916,0.026256829062162625,93.07163114724999,162.23117329071044,0.02416341115366612,93.0720898466,162.26443184555055,0.020946851958914856
3,90.38122736940001,162.2230339717102,0.024513664978753992,90.3813312883,162.2275088154602,0.023348928758291608,90.38217442445,162.2604131085968,0.020704176627160613
4,87.74684891310001,162.21510655799867,0.024860044030554383,87.7469379071,162.21930298683168,0.024179967126078273,87.74814252315,162.25363637306214,0.021809874038637475
5,85.16770108610001,162.21320803199768,0.024836306428554503,85.16777065115,162.21716464439393,0.024567318092576656,85.16932557815001,162.25184156036377,0.022455007410417907
6,82.643128175275,162.21059671966552,0.025026675166336464,82.643176117775,162.2144527559662,0.02493794045451133,82.645068669525,162.24999824371338,0.023142021476307728
7,80.1724389748,162.20935175689698,0.02513352249234297,80.172464207425,162.21310962379457,0.025207684560684385,80.1746844651,162.2491744457245,0.023661371299406084
8,77.754947894875,162.207982690506,0.025298103914484484,77.754950247575,162.21170076942443,0.02545035368229338,77.75748728387501,162.24838490097045,0.024143598700422406
9,75.389964978,162.2070669017029,0.025424768987957775,75.3899448823,162.2107738708496,0.025636906720632197,75.3927883323,162.24794737701416,0.02452450014613111
10,73.0768042405,162.20619803863525,0.025559477964779795,73.07676254715,162.20993090164185,0.02579846725377955,73.07990155602499,162.24758405555724,0.024850490395983128
11,70.81478045505,162.20552622314455,0.025683618309113355,70.81471838435,162.20929699554443,0.02593720070088146,70.818141993725,162.24736819999694,0.02510698181072456
12,68.60321145902499,162.20492535011292,0.025808118385457567,68.60313030975,162.20874470199584,0.02606155537611805,68.6068275372,162.2472162612915,0.025320902653193148
13,66.4414173348,162.204425936203,0.025916831495201787,66.4413184111,162.2082988445282,0.026172640022152294,66.445278052825,162.24714031814574,0.02549134054986632
14,64.32872112507499,162.2039864453125,0.02601634332810416,64.32860583897501,162.20791559143066,0.026271028026237705,64.332816577425,162.2471106763458,0.025637499275964246
15,62.26444838065,162.20361186203002,0.026107867073635823,62.264318240225,162.20759725646974,0.026355925243274663,62.268768621475,162.24712301719666,0.02576505648868827
16,60.247927947475,162.20328592582703,0.026194925233191328,60.24778435075,162.20732650749207,0.02642530649129687,60.25246282455,162.2471630278778,0.02587686861976987
17,58.27849138225,162.2030043685913,0.02627633973937068,58.278335688,162.20710181488036,0.02648463379471762,58.283230731924995,162.24723177360534,0.025974030950463644
18,56.355473398525,162.20275856346132,0.02635275448796431,56.355306935575,162.20691752578736,0.026534809217168748,56.3604069302,162.24732763824463,0.02606381446741432
19,54.478211698225,162.20254785072328,0.02642493752070585,54.47803581025,162.2067710788727,0.0265764410268765,54.4833291481,162.24745017189025,0.026153685036261583
20,52.646047114725,162.20236832000734,0.026493958217679588,52.645863143625,162.20665525611878,0.026613192094481555,52.6513382397,162.24759858161926,0.02624458367047094
21,50.858323625450005,162.2022146889496,0.026560903387172898,50.858132882700005,162.2065664212036,0.02664595294466845,50.863778139124996,162.24777250450134,0.026333602558897884
22,49.114388316275004,162.2020849508667,0.02662720985133523,49.114192103725,162.20650350830078,0.026673876077189237,49.119996072899994,162.24796934768676,0.02641862423296541
23,47.413591504450004,162.20197676612855,0.026689554787505128,47.413391034775,162.20646214637756,0.026695158069507615,47.419342363775,162.24818892059326,0.026500880303814048
24,45.75528672709999,162.20188647521974,0.02675039895409732,45.75508314875,162.20644002067567,0.026712683514688,45.761170628725004,162.24843276092528,0.02658045153941955
25,44.1388306498,162.2018107131195,0.026810583458393107,44.138625167425,162.20643748908998,0.026728863329433875,44.144837749749996,162.2487016529846,0.02665601984099453
26,42.563583308575005,162.2017493309784,0.026869226384414836,42.56337693375,162.20645396858217,0.026742910049219807,42.569703897675,162.24899244781494,0.02672820280049644
27,41.028907850687496,162.20170129707336,0.02692849249476061,41.0287017386125,162.20648699905396,0.026754969583041625,41.035132393375,162.2493035886383,0.026798698018799354
28,39.5341709186375,162.20166456306458,0.02699031541814223,39.5339660173,162.20653517677306,0.026764316559957525,39.5404899834125,162.2496321170807,0.026868141946289902
29,38.078742319725,162.2016361114502,0.02705619237270875,38.07853958065,162.2065984438324,0.02677227628842916,38.0851466502125,162.2499754690552,0.026937976819684916
30,36.6619952296625,162.20161609375,0.027124139490292253,36.66179558685,162.20667443725586,0.026780342844396773,36.6684757010375,162.25033066101074,0.02700914949609935
31,35.2833061689375,162.2016047871399,0.027193181613692836,35.2831105209625,162.20676122276305,0.0267868120536729,35.289853816275,162.25069445495606,0.027081974109120208
32,33.9420550402375,162.2016007611084,0.027263482701157325,33.9418641940875,162.2068561881256,0.026789602059525606,33.9486609979625,162.2510675463867,0.027156788816340198
33,32.63762513885,162.201601843338,0.02733413280637501,32.63743983015,162.20695613998413,0.026791676181861773,32.644280709475,162.2514508594513,0.02723719627509934
34,31.369403124475,162.20160805923462,0.02740775832266353,31.36922407015,162.20705772880555,0.026796291617085216,31.3760997698125,162.25183925338746,0.027319285932142136
35,30.1367791845875,162.20162012672424,0.02748507887966513,30.1366069445125,162.20716235900878,0.026805676888336096,30.143508424399997,162.25222785079956,0.027403284557227743
36,28.9391468807875,162.2016349851227,0.027566447916805122,28.938981946775,162.20726854019165,0.02682100660780205,28.945900364487503,162.25261470451355,0.027495614476989935
37,27.775903310025,162.20164793289186,0.027651022787746785,27.77574603165,162.20737316368104,0.026843640228257016,27.782672698037498,162.25299732528686,0.027598152173323707
38,26.646448948725002,162.20165780029296,0.02774268366691135,26.6462996202375,162.20747367881776,0.02687351739475592,26.653226038612498,162.25336908187867,0.027710707995075183
39,25.55018787745,162.20166231292725,0.027846247595280517,25.5500466607625,162.20756901130676,0.026911432911163678,25.5569644957125,162.25372886940002,0.027833415412494854
40,24.4865276349625,162.20165770416259,0.027960639410659228,24.486394600587502,162.207656792984,0.026958845880402118,24.493295673575002,162.25407809959412,0.02796846902431336
41,23.4548793597875,162.20164039505005,0.028086424701130194,23.454754417012502,162.20773160987855,0.027014291046679278,23.461630759425,162.2544176184845,0.02811910867733039
42,22.454657728175,162.20160581809998,0.02822520366504839,22.45454067325,162.20779268211365,0.02707573106081989,22.461384547,162.2547469656372,0.02829471557205943
43,21.485281023324998,162.20155085197447,0.02838094519995091,21.48517155055,162.20784207405092,0.027147993507096953,21.491975408412504,162.2550668271637,0.02850491535409201
44,20.54617117836875,162.20147709785462,0.028561143332486646,20.54606891213125,162.20788107398988,0.0272395346639078,20.552825499825,162.25538616416932,0.028756743695135638
45,19.63675388545,162.20137835906982,0.02877034006927788,19.6366583356,162.20791001426696,0.027353292524072533,19.6433607652625,162.25571267417908,0.02906072513607733
46,18.756458558625,162.20124910102845,0.029023589182208098,18.756369215299998,162.2079311868286,0.02749298001749916,18.76301105396875,162.25605229019166,0.02943022675829837
47,17.9047184904,162.2010820957184,0.029349631505068384,17.90463478429375,162.2079486063385,0.02766672505970408,17.9112102193875,162.25641957954406,0.029881462053992544
48,17.08097088943125,162.20087238372804,0.02977968979753938,17.08089233070625,162.20797036071778,0.02789483778624918,17.087396156281248,162.2568290434265,0.030434082373845834
49,16.284656973525,162.2005872431183,0.030359930220132905,16.2845830434125,162.2079912361908,0.028186619591010955,16.29101102723125,162.25728216270446,0.031112821212297862
50,15.51522194365,162.20018730659484,0.031201260939476727,15.51515233640625,162.2080072956848,0.02857182709861774,15.521500916231249,162.2577657649231,0.03194379385911884
51,14.772115096981251,162.1995624343109,0.03252136270803805,14.772049613850001,162.20798203353883,0.02909146722766838,14.778316062237499,162.25822664970397,0.032951332190111086
52,14.054789833856251,162.1985413013458,0.03480357268940914,14.0547284374875,162.2078683570099,0.029867087083931296,14.06091068821875,162.25857470466613,0.03416214027896723
53,13.3627039138625,162.19662530220032,0.03905451064770314,13.3626464899125,162.20746321800232,0.031061660762867184,13.368742933693749,162.25853088020324,0.03558288458117965
54,12.6953196539,162.192872546463,0.048143641608413536,12.695265803075,162.20649326271058,0.03313603056063354,12.7012748202875,162.2576106517029,0.037267403285937716
55,12.05210440166875,162.1838862828827,0.07270139365998372,12.05205286435,162.20395490478515,0.03691512034640335,12.05797211864375,162.25451175010681,0.039629629730055786
56,11.43253238388125,162.16108864372254,0.14612492371898195,11.432479932275,162.19788549865723,0.04587324139935428,11.438304951800001,162.24685726997376,0.04519195326122387
57,10.836083076724998,162.11354087646484,0.279672926034893,10.83602722739375,162.18070886947632,0.07474342441778575,10.84175034821875,162.22805778907775,0.06603934496703896
58,10.262239877296874,162.04446482192992,0.419086514107036,10.262188713596876,162.1329004234314,0.17193336351053487,10.267800040584376,162.18287126037598,0.14170993959434985
59,9.710482985471875,161.9522153063202,0.5458301036767865,9.710471050065625,162.02395976493835,0.36614154723210596,9.71596360265,162.0839159300995,0.303283707192046
60,9.18030102474375,161.839686121521,0.667345118108073,9.18039676078125,161.85252066009522,0.6027600228279208,9.185768472440625,161.91977560112,0.5029074988427046
61,8.671191920178126,161.68498463012696,0.7723763712439036,8.6715007497875,161.61159027252197,0.7984619300736716,8.6767496255375,161.66631154197694,0.6663228096580862
62,8.1827776902125,161.40208969955444,0.8259408418933954,8.183400466315625,161.2382240876007,0.8881840860100954,8.18849186769375,161.26044513595582,0.743050314476479
63,7.714800172784375,160.83925462287903,0.7102557317908403,7.7157352653375,160.660822494812,0.7714596724235998,7.7205884233125,160.66718952598572,0.6388484490357462
64,7.266784075646876,160.24514150894166,0.5524500042247062,7.267933087090626,160.11531777435303,0.591749916415738,7.272485390437501,160.11895730766295,0.5009766380633893
65,6.83805972301875,159.80571654129028,0.4163484340132156,6.8392999215625006,159.73642015472413,0.4426579523681715,6.84356336529375,159.73098426956176,0.39637113023441534
66,6.42803038041875,159.53052015846254,0.31579346797109153,6.429258391765625,159.51413142959595,0.3370898039827568,6.4332808238375,159.48164620346068,0.3237131102711885
67,6.036194050840625,159.35145889427184,0.2448744986029724,6.037373619853126,159.38531239532472,0.25272305517289567,6.041164805253125,159.32101887420654,0.2622492242682168
68,5.6620512081,159.22798216156005,0.2074643489351053,5.663222141140625,159.2912953086853,0.19670983921067692,5.6667445026843755,159.21157198562622,0.21088450183769994
69,5.305084264203125,159.14055291023254,0.18834476911700734,5.306296210146875,159.20238851264955,0.1690807126181094,5.3095214588531245,159.13206831703187,0.1757736795029547
70,4.9647547962734375,159.08492721176148,0.17039022173841253,4.966022129654688,159.13458190788268,0.15197292837628126,4.968962133104688,159.07878689712524,0.1521921457565429
71,4.64051177204375,159.0508628829956,0.15353318584097592,4.641828515590625,159.0918024419403,0.13903908813233462,4.644514846340625,159.04619082313536,0.13595578866591582
72,4.331813163878125,159.02641178619385,0.14043374655859325,4.333168149607813,159.06298117889403,0.12949164968660218,4.335632203720313,159.02402029563905,0.12447889102132523
73,4.038146379310938,159.00867616088868,0.13206648284734743,4.03952546919375,159.04284278442384,0.12430347444511824,4.041794132873438,159.0087245500946,0.1171026940061903
74,3.7590315212109378,158.99640038757323,0.12665306833676362,3.7604208180703123,159.02975687156678,0.12253324924529305,3.7625159581671874,158.99875762901306,0.11260897930546152
75,3.4940098680515623,158.98825078147888,0.12302457803226764,3.495398409690625,159.02184356018066,0.12276615119798179,3.497336663564062,158.9925634828949,0.10998317297234637
76,3.242636483676563,158.98312842071533,0.12115627468408476,3.244016522440625,159.0176658493805,0.12448197134754328,3.245810546092187,158.9892407512665,0.10872777721757158
77,3.0044752349,158.9798885545349,0.12042992345526168,3.0058416459437503,159.0159909136963,0.12691850726379314,3.0075012754359376,158.9877446988678,0.10816102149913828
78,2.7790967736843752,158.97869365371704,0.12124603445432709,2.780446353639063,159.01670707092285,0.13065333514023622,2.7819795521968746,158.98803141716004,0.10891277532724512
79,2.566077485767969,158.97866896278381,0.12194452075115163,2.567408151190625,159.01889312683105,0.1343163248672082,2.5688216131742188,158.9893773641205,0.10966017857268834
80,2.36500086353125,158.97991046272278,0.12385772215479163,2.3663110841374997,159.02254933517457,0.13897683765606642,2.3676105393078126,158.99178454322814,0.11149836918008303
81,2.175456777874219,158.9820848451233,0.12638207815748984,2.176745719496875,159.02770640846254,0.14429313331635227,2.1779363265640628,158.99510481658936,0.11420131708916281
82,1.9970354991820312,158.98453502174377,0.12988082629067738,1.9983027261750002,159.03336060745238,0.15053766043695221,1.9993893357515626,158.9984837689972,0.11817646406526384
83,1.829329424103125,158.98756541152954,0.1340579065329254,1.8305741342406252,159.0396793650055,0.15748508253108798,1.8315613563093749,159.00227457351684,0.12310362433623451
