pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
3.95540203e+01,4.60854185e+02,7.93264683e-01,3.17305873e+00,1.98316171e+01,7.93264683e+01,1.72403625e-01,6.89614499e-01,4.31009062e+00,1.72403625e+01,3.95540203e+01,8.02077629e-03,nan
3.80984440e+01,4.55943826e+02,8.71862006e-01,3.48744802e+00,2.17965501e+01,8.71862006e+01,1.76023131e-01,7.04092522e-01,4.40057826e+00,1.76023131e+01,3.80984440e+01,8.82247773e-03,nan
3.66815375e+01,4.51033530e+02,9.60892983e-01,3.84357193e+00,2.40223246e+01,9.60892983e+01,1.79939510e-01,7.19758041e-01,4.49848776e+00,1.79939510e+01,3.66815375e+01,9.73188523e-03,nan
3.53026779e+01,4.46123283e+02,1.06204501e+00,4.24818006e+00,2.65511254e+01,1.06204501e+02,1.84178151e-01,7.36712606e-01,4.60445378e+00,1.84178151e+01,3.53026779e+01,1.07667281e-02,nan
3.39612455e+01,4.41213075e+02,1.17732514e+00,4.70930058e+00,2.94331286e+01,1.17732514e+02,1.88767330e-01,7.55069320e-01,4.71918325e+00,1.88767330e+01,3.39612455e+01,1.19481342e-02,1.88838969e-03
3.26566242e+01,4.36302892e+02,1.30912949e+00,5.23651796e+00,3.27282373e+01,1.30912949e+02,1.93738608e-01,7.74954432e-01,4.84346520e+00,1.93738608e+01,3.26566242e+01,1.33015205e-02,1.93727343e-03
3.13882010e+01,4.31392714e+02,1.46032957e+00,5.84131829e+00,3.65082393e+01,1.46032957e+02,1.99127291e-01,7.96509163e-01,4.97818227e+00,1.99127291e+01,3.13882010e+01,1.48572471e-02,1.99173763e-03
3.01553665e+01,4.26482528e+02,1.63437965e+00,6.53751860e+00,4.08594913e+01,1.63437965e+02,2.04972942e-01,8.19891766e-01,5.12432354e+00,2.04972942e+01,3.01553665e+01,1.66491060e-02,2.05023272e-03
2.89575145e+01,4.21572319e+02,1.83545199e+00,7.34180796e+00,4.58862997e+01,1.83545199e+02,2.11320002e-01,8.45280006e-01,5.28300004e+00,2.11320002e+01,2.89575145e+01,1.87220236e-02,2.11371985e-03
2.77940426e+01,4.16662075e+02,2.06860698e+00,8.27442792e+00,5.17151745e+01,2.06860698e+02,2.18218501e-01,8.72874002e-01,5.45546251e+00,2.18218501e+01,2.77940426e+01,2.11383306e-02,2.18272344e-03
