level,-kappa-0.01_pressure_bar,-kappa-0.01_rms_vel1,-kappa-0.01_rms_vel1_temporal_std,-kappa-0.1_pressure_bar,-kappa-0.1_rms_vel1,-kappa-0.1_rms_vel1_temporal_std,-kappa-1.0_pressure_bar,-kappa-1.0_rms_vel1,-kappa-1.0_rms_vel1_temporal_std
0,98.641808724,0.013563248513546202,0.0025092458982471245,98.64185334915,0.01032613722391001,0.0016196825104554241,98.64310833475,0.007559358758939261,0.0016585814108741705
1,95.83570845605001,0.04513299031850427,0.007812577583112114,95.83577874619999,0.03454284235702545,0.005021479876008088,95.8368811927,0.024676325584816836,0.00522574586540559
2,93.08915590670001,0.0832435550331626,0.013480953951510838,93.0892603297,0.06373508505693805,0.008634838302433466,93.09038659285,0.044702195547333796,0.009128521048285827
3,90.39926189855,0.12127913111917434,0.01926213843754911,90.39936777419999,0.09225460763347872,0.012436311335461027,90.40080698205,0.06471459825446996,0.013129220302891096
4,87.76524872840001,0.15577976227753892,0.024904274443103575,87.7653438184,0.11750235889113347,0.016375620271525573,87.76710247595,0.08305774294760504,0.017052514966575057
5,85.18642798875,0.18701123776635012,0.03032213493199289,85.18651300625,0.139955526648259,0.02038071671489396,85.18858724719999,0.09988260060239036,0.020857189451317443
6,82.662147676275,0.21581249020858775,0.03550361409327598,82.662220799625,0.1604104620645986,0.024354345166795483,82.6646110182,0.11558713225664612,0.02452987549327127
7,80.1917218147,0.2427200303887931,0.04047211728652124,80.1917819142,0.17930667009214984,0.028250491043621373,80.19449594825,0.13041399733983236,0.02806895750082945
8,77.77446621435,0.267993477232314,0.04524949021202113,77.7745113478,0.19684911109421688,0.03206705374567982,77.777556790275,0.14449432434043918,0.03148695638132772
9,75.409692475925,0.2918087079022757,0.04985844270915604,75.4097213747,0.21321445299783576,0.03582742629537219,75.413105435375,0.15792061859569637,0.03481189853394172
10,73.096715447625,0.3143111643073029,0.05432948925327526,73.096727076075,0.22854767807637716,0.03954265384226723,73.10045298622501,0.17075153251465108,0.03805199249055532
11,70.834851132075,0.3356539753813036,0.0586953628836707,70.8348447272,0.24296492258178756,0.043207860529836134,70.83891184085,0.18305762920050617,0.04120426079679259
12,68.62341818132501,0.35596086918474096,0.06297148128273598,68.6233932005,0.25656199625818066,0.04681760007783425,68.62779820545,0.19493785657317697,0.044288703842638444
13,66.46173761222501,0.3753232981745033,0.0671578482421394,66.46169371245,0.26941781920883695,0.05036962889066748,66.4664320499,0.20647204950126377,0.04733039670674335
14,64.34913326542501,0.3938261425197227,0.07126256642891221,64.34907020885,0.2816117829775208,0.053873984914068626,64.3541367326,0.21768933473995591,0.050338180185908306
15,62.284931706925,0.41155882680186057,0.07529924689148591,62.2848493881,0.2932162414953015,0.0573387624321865,62.290238729924994,0.22859534479920188,0.053291462065560596
