level,-nu-0.01_pressure_bar,-nu-0.01_H2O_vapor_mean,-nu-0.01_H2O_vapor_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_vapor_mean,-nu-0.1_H2O_vapor_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_vapor_mean,-nu-1.0_H2O_vapor_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_vapor_mean,-nu-10.0_H2O_vapor_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_vapor_mean,-nu-100.0_H2O_vapor_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
12,68.57320177,0.024985446060076355,4.758753409134483e-06,0.0,0.0,0.0,0.0,68.57598011,0.024992265744134785,1.2835557410577995e-05,0.0,0.0,0.0,0.0,68.5837283925,0.024971037338487805,3.336111287345445e-08,0.0,0.0,0.0,0.0,68.75415387,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,70.23200575,0.024964558789506555,9.256709247668653e-10,0.0,0.0,0.0,0.0
13,66.4132753825,0.024985447853803636,4.9018933806999115e-06,0.0,0.0,0.0,0.0,66.41597681,0.02499216956831515,1.3057820017277002e-05,0.0,0.0,0.0,0.0,66.4240866975,0.024970951721072197,6.656489246576709e-08,0.0,0.0,0.0,0.0,66.60325843,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,68.12157075,0.024964557960629463,0.0,0.0,0.0,0.0,0.0
14,64.30238012,0.02498538255691528,5.026862077861034e-06,0.0,0.0,0.0,0.0,64.305004975,0.02499202276300639,1.3379376839794338e-05,0.0,0.0,0.0,0.0,64.31347028,0.02497080404590815,1.0977127272307292e-07,0.0,0.0,0.0,0.0,64.50137026499999,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,66.0634575,0.024964557451196016,8.302838689855064e-10,0.0,0.0,0.0,0.0
15,62.23984411,0.024985255300067365,5.135927181258306e-06,0.0,0.0,0.0,0.0,62.242391445,0.02499187707901001,1.374503089030782e-05,0.0,0.0,0.0,0.0,62.251205885,0.024970565736293793,1.6811577214352342e-07,0.0,0.0,0.0,0.0,62.4477538525,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,64.05649825,0.02496455610357225,1.0186812962498754e-10,0.0,0.0,0.0,0.0
16,60.224998185000004,0.02498515910934657,5.259185299047974e-06,0.0,0.0,0.0,0.0,60.227465785,0.02499179093912244,1.3969458558476246e-05,0.0,0.0,0.0,0.0,60.2366227775,0.024970222388394178,2.7661002985947066e-07,0.0,0.0,0.0,0.0,60.441691425,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,62.0995625,0.024964556058868766,2.6707369747920573e-10,0.0,0.0,0.0,0.0
17,58.257175034999996,0.02498515162896365,5.400816671401915e-06,0.0,0.0,0.0,0.0,58.259560855000004,0.024991796148940922,1.4000759908993557e-05,0.0,0.0,0.0,0.0,58.2690538275,0.02496979014761746,3.9683560228460755e-07,0.0,0.0,0.0,0.0,58.482478145,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,60.1915495,0.024964554509148,6.595736674188984e-10,0.0,0.0,0.0,0.0
18,56.3357110575,0.024985206382349134,5.504535251774108e-06,0.0,0.0,0.0,0.0,56.33801215,0.0249918421395123,1.3952274319886638e-05,0.0,0.0,0.0,0.0,56.3478351825,0.024969321597367526,4.488562506033273e-07,0.0,0.0,0.0,0.0,56.5694213625,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,58.33139125,0.024964554235339165,0.0,0.0,0.0,0.0,0.0
19,54.459945055,0.02498518027551472,5.62635271415043e-06,0.0,0.0,0.0,0.0,54.4621589425,0.024991868313401937,1.3833261389776187e-05,0.0,0.0,0.0,0.0,54.47230642,0.024968893490731715,4.018085518092664e-07,0.0,0.0,0.0,0.0,54.701840697499996,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,56.518049500000004,0.02496455357875675,8.898761614629094e-10,0.0,0.0,0.0,0.0
20,52.629218237500005,0.024984990648925304,5.836497535874538e-06,0.0,0.0,0.0,0.0,52.63134489,0.024991858028806747,1.3663523043636591e-05,0.0,0.0,0.0,0.0,52.64181049,0.024968575349077583,2.8919111649420707e-07,0.0,0.0,0.0,0.0,52.879060405000004,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,54.750516,0.024964552372694016,0.0,0.0,0.0,0.0,0.0
21,50.8428751575,0.024984721912071108,6.149794087776176e-06,0.0,0.0,0.0,0.0,50.84491504,0.02499183306004852,1.346291210106771e-05,0.0,0.0,0.0,0.0,50.855693775000006,0.024968392410315572,1.6996674320989503e-07,0.0,0.0,0.0,0.0,51.100416035,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,53.02781025,0.024964552372694016,0.0,0.0,0.0,0.0,0.0
22,49.100265055,0.024984448990784586,6.495926970781825e-06,0.0,0.0,0.0,0.0,49.102218847500005,0.024991824260912836,1.3151854326201701e-05,0.0,0.0,0.0,0.0,49.1133057975,0.02496830356121063,9.218360094930685e-08,0.0,0.0,0.0,0.0,49.3652473575,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,51.34897625,0.02496455104276538,8.417095374158093e-10,0.0,0.0,0.0,0.0
23,47.4007386475,0.024984146886505187,6.824963988943771e-06,0.0,0.0,0.0,0.0,47.402608135,0.02499183123279363,1.2851521118291181e-05,0.0,0.0,0.0,0.0,47.413999125,0.02496820801589638,8.248959584072082e-08,0.0,0.0,0.0,0.0,47.67289911,0.02496452812850475,2.337155810200888e-10,0.0,0.0,0.0,0.0,49.713084,0.024964550510048866,0.0,0.0,0.0,0.0,0.0
24,45.743650195,0.02498372142482549,7.226265498388592e-06,0.0,0.0,0.0,0.0,45.74543786,0.024991840765811502,1.2678370733775403e-05,0.0,0.0,0.0,0.0,45.7571299025,0.024967977983877062,1.6046502212856555e-07,0.0,0.0,0.0,0.0,46.0227234525,0.024964527877047657,6.669180082989973e-10,0.0,0.0,0.0,0.0,48.11922925,0.02496455045603216,3.125638442303617e-10,0.0,0.0,0.0,0.0
25,44.128358035000005,0.024983177088201046,7.871170834876354e-06,0.0,0.0,0.0,0.0,44.1300655275,0.02499184129573405,1.2556195014863861e-05,0.0,0.0,0.0,0.0,44.142055664999994,0.02496751026250422,2.7332476736770716e-07,0.0,0.0,0.0,0.0,44.414076220000005,0.02496452721208334,9.312033576955562e-10,0.0,0.0,0.0,0.0,46.566529249999995,0.024964548821561038,5.422753151231821e-10,0.0,0.0,0.0,0.0
26,42.554223334999996,0.024982555982656775,8.476480298024002e-06,0.0,0.0,0.0,0.0,42.5558525875,0.02499181630834937,1.2497461079194708e-05,0.0,0.0,0.0,0.0,42.56813818249999,0.02496678083576262,3.613672072035057e-07,0.0,0.0,0.0,0.0,42.846315302499995,0.024964526525698603,6.128293614811034e-10,0.0,0.0,0.0,0.0,45.05412325,0.024964548647403717,0.0,0.0,0.0,0.0,0.0
