level,2D-F10-kappa-0.01_pressure_bar,2D-F10-kappa-0.01_rms_vel1,2D-F10-kappa-0.01_rms_vel1_temporal_std,2D-F100-kappa-0.01_pressure_bar,2D-F100-kappa-0.01_rms_vel1,2D-F100-kappa-0.01_rms_vel1_temporal_std,3D-F10-kappa-0.01_pressure_bar,3D-F10-kappa-0.01_rms_vel1,3D-F10-kappa-0.01_rms_vel1_temporal_std,3D-F100-kappa-0.01_pressure_bar,3D-F100-kappa-0.01_rms_vel1,3D-F100-kappa-0.01_rms_vel1_temporal_std
0,98.62821193,0.010269363129180309,0.004166765500420196,98.583430705,0.043813182942811536,0.01995422985241967,98.641808724,0.013563248513546202,0.0025092458982471245,98.62439433864999,0.03305064881919061,0.0035158766427262175
1,95.82360782500001,0.029502907970105675,0.00970966939757539,95.778898195,0.13440197925454866,0.060281418672303404,95.83570845605001,0.04513299031850427,0.007812577583112114,95.8184104972,0.10251505802945812,0.010744808521909743
2,93.079409505,0.052440077938473745,0.012585238297606044,93.03316760999999,0.22632114314106486,0.10081317912584546,93.08915590670001,0.0832435550331626,0.013480953951510838,93.07152128359999,0.17395202400992782,0.01801223818118995
3,90.39207893999999,0.07988467374939039,0.01685190225910567,90.34386619000001,0.3117989688609632,0.14073230785029456,90.39926189855,0.12127913111917434,0.01926213843754911,90.38122736940001,0.24061353827873594,0.025014290667656883
4,87.76059313500001,0.10759470423439986,0.02176571661250954,87.710430585,0.38775006877265183,0.1788006420682419,87.76524872840001,0.15577976227753892,0.024904274443103575,87.74684891310001,0.30080922833380536,0.03164258222765132
5,85.184201125,0.13369899686389808,0.026427075953293588,85.132174255,0.4550676940114922,0.21425335817224378,85.18642798875,0.18701123776635012,0.03032213493199289,85.16770108610001,0.35605904747629635,0.03789621570362989
6,82.66223722,0.15805092320231967,0.030677271122220365,82.6084587025,0.5146922686740597,0.24600858569949902,82.662147676275,0.21581249020858775,0.03550361409327598,82.643128175275,0.4075908474631516,0.04380287058891578
7,80.194019885,0.18082000381618185,0.0346848413745035,80.1386049575,0.5682006189210995,0.2739938833531052,80.1917218147,0.2427200303887931,0.04047211728652124,80.1724389748,0.45606881329408683,0.04941968512031691
8,77.77886268249999,0.2020413615406049,0.03851045286543625,77.721924745,0.6172800111535329,0.29858074109105437,77.77446621435,0.267993477232314,0.04524949021202113,77.754947894875,0.5018500681802321,0.05480097600284155
9,75.416079635,0.22161590159124975,0.042199421140631854,75.35773823,0.6630427604811588,0.32030850329133864,75.409692475925,0.2918087079022757,0.04985844270915604,75.389964978,0.5452504944130688,0.059997992655108516
10,73.1049888275,0.23937707217124338,0.04579125042835176,73.04535804999999,0.706304389610391,0.3400130938237811,73.096715447625,0.3143111643073029,0.05432948925327526,73.0768042405,0.586572783063031,0.06504615257274267
11,70.8449109875,0.2552711657359075,0.04910600108458497,70.784096265,0.7478254954418416,0.358316186088008,70.834851132075,0.3356539753813036,0.0586953628836707,70.81478045505,0.6260847198478353,0.06996306667379855
12,68.63516961,0.26946349651519447,0.05199283844322745,68.57327306750001,0.7881410163732446,0.37540103698153415,68.62341818132501,0.35596086918474096,0.06297148128273598,68.60321145902499,0.6639686579919465,0.07473674656799909
13,66.47508961,0.28235132225205517,0.054474005534850385,66.4122100175,0.8274550739905797,0.3913456367828963,66.46173761222501,0.3753232981745033,0.0671578482421394,66.4414173348,0.7003670940459865,0.07934346733779754
