level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_mean,-nu-10.0_H2O_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_mean,-nu-100.0_H2O_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
36,28.988197491250002,0.025017434689216314,1.3662747195777604e-05,0.0,0.0,1.1843885662166265e-38,1.63773259626e-37,28.99516631625,0.025127146085724236,7.732841261795843e-06,0.0,0.0,4.4726453621355666e-38,2.8572890724163083e-37,29.136481878749997,0.024978266447782515,2.63984954523066e-07,0.0,0.0,5.165097009211803e-39,1.903207633979129e-38,30.540801375,0.024964535608887672,0.0,0.0,0.0,0.0,0.0,35.9490196275,0.024964557960629463,0.0,0.0,0.0,0.0,0.0
37,27.82480638625,0.025016865346580743,1.389443570373877e-05,0.0,0.0,1.7201802871688384e-37,2.3810207795508654e-36,27.83172909375,0.025126581839285792,8.293049469336608e-06,0.0,0.0,6.491122163767723e-37,4.146988803101332e-36,27.9748932225,0.024985006876289843,3.5954974594028586e-07,0.0,0.0,7.505656075078318e-38,2.7653548597351683e-37,29.398459,0.024964535608887672,0.0,0.0,0.0,0.0,0.0,34.88710675,0.024964557884261013,3.69344263125697e-10,0.0,0.0,0.0,0.0
38,26.6951538025,0.025016048515215515,1.420946979488273e-05,0.0,0.0,2.4987558294310268e-36,3.4621912914826225e-35,26.70202405,0.02512578087951988,9.53953890543238e-06,0.0,0.0,9.421981661048262e-36,6.01973706717591e-35,26.84696032125,0.02499208690226078,4.1863427655705665e-07,0.0,0.0,1.0908614593295805e-36,4.018699525785711e-36,28.288461875,0.024964534669183195,9.312848552873749e-10,0.0,0.0,0.0,0.0,33.855056749999996,0.024964556097984314,0.0,0.0,0.0,0.0,0.0
39,25.59864628625,0.025015015204437076,1.4893784937614838e-05,0.0,0.0,3.630248396877695e-35,5.034998938379469e-34,25.605457370000003,0.025124772898852826,1.1972258936514579e-05,0.0,0.0,1.3677990223477614e-34,8.739335941872007e-34,25.752082672500002,0.024998278891667725,5.378693950542889e-07,0.0,0.0,1.5856576617026258e-35,5.840870005113439e-35,27.210209511250003,0.024964533746242523,0.0,0.0,0.0,0.0,0.0,32.85206375,0.024964556097984314,0.0,0.0,0.0,0.0,0.0
40,24.534693285,0.025014011796563863,1.54676635007531e-05,0.0,0.0,5.274731397151863e-34,7.32312096272646e-33,24.54143929375,0.025123741513118147,1.4298592902792898e-05,0.0,0.0,1.9858430322497174e-33,1.2688752926927396e-32,24.689658465,0.025002981228753926,5.970208327098942e-07,0.0,0.0,2.305129444438885e-34,8.490121987329766e-34,26.163109,0.024964533746242523,0.0,0.0,0.0,0.0,0.0,31.877344375,0.024964554235339165,0.0,0.0,0.0,0.0,0.0
41,23.50270830125,0.02501319305319339,1.5816402022025335e-05,0.0,0.0,7.664888031013922e-33,1.0652052288804253e-31,23.50938333625,0.025122794218361378,1.5192940760160126e-05,0.0,0.0,2.8833376456123914e-32,1.8424200859453021e-31,23.65908718625,0.025007695028558374,6.028220647330615e-07,0.0,0.0,3.351287177768073e-33,1.234180877013735e-32,25.146572702500002,0.024964533746242523,0.0,0.0,0.0,0.0,0.0,30.93013375,0.024964554235339165,0.0,0.0,0.0,0.0,0.0
42,22.502108215,0.025012422358617187,1.6164101857364824e-05,0.0,0.0,1.1138665822276404e-31,1.549497361535068e-30,22.508706779999997,0.025121695425361395,1.5527859751562968e-05,0.0,0.0,4.186525870249759e-31,2.675268087290395e-30,22.65977166,0.025016708850860596,1.252419994291817e-06,0.0,0.0,4.872371789745769e-32,1.7941313075844741e-31,24.1600191725,0.024964533746242523,0.0,0.0,0.0,0.0,0.0,30.009691072499997,0.024964552372694016,0.0,0.0,0.0,0.0,0.0
43,21.532312835,0.025011446514166893,1.6722162764918358e-05,0.0,0.0,1.6186316245947977e-30,2.253857272677075e-29,21.538830625,0.025120228202082217,1.6773613843101204e-05,0.0,0.0,6.078426505015171e-30,3.8844013083006235e-29,21.69111691875,0.02503697084169835,2.6307777001734705e-06,0.0,0.0,7.083666700822123e-31,2.6080563110472775e-30,23.20287381375,0.024964533746242523,0.0,0.0,0.0,0.0,0.0,29.115292875,0.024964552372694016,0.0,0.0,0.0,0.0,0.0
44,20.59274642375,0.025010192264802753,1.7454936089244946e-05,0.0,0.0,2.351871970702549e-29,3.277918203084133e-28,20.599179003125002,0.025118414897471665,1.9260040059895985e-05,0.0,0.0,8.824133091008824e-29,5.639279418802268e-28,20.752529336875,0.02507696066237986,4.83072962191931e-06,0.0,0.0,1.0297559268352231e-29,3.790851672957088e-29,22.27456562,0.024964533156715332,8.663357621964384e-10,0.0,0.0,0.0,0.0,28.246237625000003,0.024964551301673056,9.207855878996285e-10,0.0,0.0,0.0,0.0
45,19.682837071875,0.02500874190311879,1.8239225654011128e-05,0.0,0.0,3.4165709323752518e-28,4.7661513465474246e-27,19.6891796825,0.025116356698796152,2.1800877452164233e-05,0.0,0.0,1.2807149177666537e-27,8.185057574687627e-27,19.84341835875,0.02514170268177986,7.818535519854563e-06,0.0,0.0,1.4966953075352352e-28,5.509071642453829e-28,21.37453134625,0.024964531883597374,0.0,0.0,0.0,0.0,0.0,27.40184,0.024964550510048866,0.0,0.0,0.0,0.0,0.0
